psmid|articleid|assetid|counter
cho_iaxx_1972_0048_000_0000|63|RGANBK620447597|17
cho_iaxx_1928_0007_000_0000|37|RIOLCW990771478|16
cho_iaxx_1928_0007_000_0000|42|WHWRAL925156183|16
cho_iaxx_1940-1943_0019_000_0000|198|BXOEYY828762928|16
cho_iaxx_1944_0020_000_0000|72|AFBHGN707008756|16
cho_iaxx_1951_0027_000_0000|23|FOGAUF822131884|16
cho_iaxx_1957_0033_000_0000|101|WAXBYK981417743|16
cho_iaxx_1957_0033_000_0000|133|OJGULZ196819171|16
cho_iaxx_1960_0036_000_0000|30|FAJFLX617219116|16
cho_iaxx_1962_0038_000_0000|24|WNGRNV440446985|16
cho_iaxx_1963_0039_000_0000|90|SYKRUR208107294|16
cho_iaxx_1977_0053_000_0000|90|WHUZEP037151670|16
cho_iaxx_1979_0055_000_0000|21|NICRCW698807918|16
cho_iaxx_1979_0055_000_0000|76|QMMFFE617589173|16
cho_iaxx_1932_0011_000_0000|33|CFJGLB342889642|15
cho_iaxx_1936_0015_000_0000|130|EYPEWN095449021|15
cho_iaxx_1945_0021_000_0000|77|ISVBYC178672162|15
cho_iaxx_1951_0027_000_0000|18|SUXONE947249504|15
cho_iaxx_1952_0028_000_0000|126|RHWSDN414029430|15
cho_iaxx_1952_0028_000_0000|27|MFVWRK540367797|15
cho_iaxx_1957_0033_000_0000|63|OSZBDT806696550|15
cho_iaxx_1958_0034_000_0000|24|PBYOCD287704624|15
cho_iaxx_1958_0034_000_0000|57|SXDYWV376431306|15
cho_iaxx_1958_0034_000_0000|78|ASAPZY727834940|15
cho_iaxx_1961_0037_000_0000|48|XDAMCK908728823|15
cho_iaxx_1964_0040_000_0000|20|TMIZOB402171304|15
cho_iaxx_1968_0044_000_0000|78|XJCWUC285061805|15
cho_iaxx_1972_0048_000_0000|41|YXICYK656726421|15
cho_iaxx_1974_0050_000_0000|17|YCHAKZ469801968|15
cho_iaxx_1974_0050_000_0000|65|TQQPZQ530891442|15
cho_iaxx_1929_0008_000_0000|24|WEECFZ432356803|14
cho_iaxx_1936_0015_000_0000|125|NZFOID144523511|14
cho_iaxx_1937_0016_000_0000|61|DAODIV338846250|14
cho_iaxx_1944_0020_000_0000|18|MSHIJH505285524|14
cho_iaxx_1944_0020_000_0000|96|RJJFQU843446480|14
cho_iaxx_1945_0021_000_0000|24|DBHPZT839695367|14
cho_iaxx_1946_0022_000_0000|16|FDJIFH895473779|14
cho_iaxx_1946_0022_000_0000|69|IEIVRB879332615|14
cho_iaxx_1948_0024_000_0000|87|KUXPOQ328232742|14
cho_iaxx_1949_0025_000_0000|28|XVRVLS099232690|14
cho_iaxx_1949_0025_000_0000|57|XIWUVQ215964637|14
cho_iaxx_1950_0026_000_0000|125|RNANKY342095415|14
cho_iaxx_1950_0026_000_0000|58|LSHLGQ493156044|14
cho_iaxx_1951_0027_000_0000|119|PBFHQV298834861|14
cho_iaxx_1954_0030_000_0000|28|FNQHXS425244976|14
cho_iaxx_1954_0030_000_0000|22|FCLYLK203723291|14
cho_iaxx_1955_0031_000_0000|61|NTJBKW417300570|14
cho_iaxx_1956_0032_000_0000|120|GBZWBN633461520|14
cho_iaxx_1957_0033_000_0000|29|BMPQRG287520564|14
cho_iaxx_1957_0033_000_0000|99|GNVTKK394132652|14
cho_iaxx_1961_0037_000_0000|73|TFWSZM153147994|14
cho_iaxx_1963_0039_000_0000|18|YKRFIJ203744864|14
cho_iaxx_1963_0039_000_0000|69|IAMOLG609944551|14
cho_iaxx_1965_0041_000_0000|44|KMKZNL668081415|14
cho_iaxx_1966_0042_000_0000|106|KOFORL345385454|14
cho_iaxx_1968_0044_000_0000|108|ELRIJD215697886|14
cho_byil_1921_0002_000_0000|24|TXZJUQ850866591|13
cho_iaxx_1927_0006_000_0000|16|IFBNKS632916515|13
cho_iaxx_1928_0007_000_0000|26|CUQTDX167906974|13
cho_iaxx_1933_0012_000_0000|114|HNHFOQ492788024|13
cho_iaxx_1934_0013_000_0000|73|RGNNFF873562729|13
cho_iaxx_1936_0015_000_0000|106|CKIEHC550259175|13
cho_iaxx_1936_0015_000_0000|103|LWVGPQ168135490|13
cho_iaxx_1936_0015_000_0000|79|IPGOHQ242099528|13
cho_iaxx_1937_0016_000_0000|97|UMICZK587210191|13
cho_iaxx_1938_0017_000_0000|109|FQRMLU433410579|13
cho_iaxx_1944_0020_000_0000|65|FLULJG957703094|13
cho_iaxx_1947_0023_000_0000|16|UTQXXJ266373239|13
cho_iaxx_1947_0023_000_0000|13|TRJEBZ578631308|13
cho_iaxx_1947_0023_000_0000|112|IYSJYS535714568|13
cho_iaxx_1948_0024_000_0000|28|DTMQLV659964636|13
cho_iaxx_1950_0026_000_0000|47|XCMSUO816060093|13
cho_iaxx_1950_0026_000_0000|94|WPUSAD942350057|13
cho_iaxx_1950_0026_000_0000|91|UTYYPX319528129|13
cho_iaxx_1951_0027_000_0000|132|KCCNCW918641201|13
cho_iaxx_1951_0027_000_0000|55|SBIQHE731682312|13
cho_iaxx_1951_0027_000_0000|87|OYHATW553995002|13
cho_iaxx_1952_0028_000_0000|115|NSAETH042168785|13
cho_iaxx_1952_0028_000_0000|120|LEEWKS135311545|13
cho_iaxx_1954_0030_000_0000|98|PQOBDT725110760|13
cho_iaxx_1957_0033_000_0000|135|JCGRHO972925775|13
cho_iaxx_1957_0033_000_0000|139|KYMZKA014110188|13
cho_iaxx_1958_0034_000_0000|119|VBAYLE806739581|13
cho_iaxx_1958_0034_000_0000|90|RUSRLR688441776|13
cho_iaxx_1959_0035_000_0000|28|XSDADC166535318|13
cho_iaxx_1960_0036_000_0000|128|WYACOG404962197|13
cho_iaxx_1960_0036_000_0000|93|TKWKRQ523300621|13
cho_iaxx_1961_0037_000_0000|23|XOBBNT098702816|13
cho_iaxx_1961_0037_000_0000|69|GKWLYN734615577|13
cho_iaxx_1962_0038_000_0000|113|LGJWQN128529848|13
cho_iaxx_1965_0041_000_0000|100|TQNQCT557964932|13
cho_iaxx_1964_0040_000_0000|111|JLMTJI829747613|13
cho_iaxx_1964_0040_000_0000|53|FJHJJV777073276|13
cho_iaxx_1964_0040_000_0000|81|EHORQM382168830|13
cho_iaxx_1965_0041_000_0000|73|XIUSDP265502724|13
cho_iaxx_1966_0042_000_0000|78|EFUKPD907943311|13
cho_iaxx_1967_0043_000_0000|46|VINNUX678463718|13
cho_iaxx_1967_0043_000_0000|24|IJPLPJ947402871|13
cho_iaxx_1969_0045_000_0000|47|NFLTFN492770640|13
cho_iaxx_1975_0051_000_0000|67|TRNTHN895729534|13
cho_iaxx_1977_0053_000_0000|17|LXUHLY883434351|13
cho_iaxx_1976_0052_000_0000|89|HAYTPN180119658|13
cho_iaxx_1977_0053_000_0000|39|IQYGAV051781399|13
cho_iaxx_1977_0053_000_0000|68|AJXVOE551634888|13
cho_iaxx_1978_0054_000_0000|21|YVZYEY183670819|13
cho_iaxx_1978_0054_000_0000|69|YPCKDM503583271|13
cho_iaxx_1978_0054_000_0000|95|HFOVSX985331343|13
cho_iaxx_1979_0055_000_0000|80|ROANBQ415724011|13
cho_book_1979_brownlie_000_0000|33|LOZJUY066897351|12
cho_diax_1957_0000_000_0000|187|DTWBGA969489535|12
cho_iaxx_1928_0007_000_0000|11|IUOJYF122849796|12
cho_iaxx_1932_0011_000_0000|64|SFYCMO948042135|12
cho_iaxx_1935_0014_000_0000|65|IPHGYF482986640|12
cho_iaxx_1937_0016_000_0000|123|TTIXPR864014324|12
cho_iaxx_1936_0015_000_0000|85|QJVOTO173104131|12
cho_iaxx_1940-1943_0019_000_0000|281|WEYHJV328569865|12
cho_iaxx_1940-1943_0019_000_0000|50|VYKCIM323056688|12
cho_iaxx_1944_0020_000_0000|44|SMWSIW679312723|12
cho_iaxx_1949_0025_000_0000|34|RDYDVB853925191|12
cho_iaxx_1949_0025_000_0000|96|NHTCIA465997706|12
cho_iaxx_1950_0026_000_0000|85|RUJHAW748966623|12
cho_iaxx_1951_0027_000_0000|121|XKYQQB740195266|12
cho_iaxx_1951_0027_000_0000|13|GUSMSE374671705|12
cho_iaxx_1952_0028_000_0000|20|WXCRCR235842096|12
cho_iaxx_1952_0028_000_0000|94|KGSSNX752795884|12
cho_iaxx_1952_0028_000_0000|51|DWCXCN887657461|12
cho_iaxx_1957_0033_000_0000|134|YJIXPI664943838|12
cho_iaxx_1956_0032_000_0000|80|RYWWUO129356709|12
cho_iaxx_1956_0032_000_0000|122|TPSCPU674304587|12
cho_iaxx_1956_0032_000_0000|16|LWSGYX912356776|12
cho_iaxx_1958_0034_000_0000|59|VKTHRP406627745|12
cho_iaxx_1959_0035_000_0000|24|XNXHKC435282256|12
cho_iaxx_1961_0037_000_0000|101|ZTFPKR873791527|12
cho_iaxx_1961_0037_000_0000|45|WODBXI943487802|12
cho_iaxx_1961_0037_000_0000|72|CJPRTK926676244|12
cho_iaxx_1962_0038_000_0000|123|QULCIF375228586|12
cho_iaxx_1962_0038_000_0000|56|TRHVOM008250642|12
cho_iaxx_1964_0040_000_0000|21|YDZSJY345052271|12
cho_iaxx_1967_0043_000_0000|106|QDABQD844614077|12
cho_iaxx_1969_0045_000_0000|48|PQQACD380451394|12
cho_iaxx_1971_0047_000_0000|23|STKADY132108440|12
cho_iaxx_1971_0047_000_0000|42|LLBJMY965919928|12
cho_iaxx_1974_0050_000_0000|40|SKCXJA041904769|12
cho_iaxx_1975_0051_000_0000|47|OOAMFB743193925|12
cho_iaxx_1975_0051_000_0000|43|ACKAGD160020983|12
cho_iaxx_1975_0051_000_0000|71|WAPELE461322580|12
cho_iaxx_1978_0054_000_0000|17|PBMLDC822020272|12
cho_book_1979_brownlie_000_0000|109|PUOLLE722267081|11
cho_iaxx_1926_0005_000_0000|48|PCMQVV360139355|11
cho_iaxx_1927_0006_000_0000|48|ENUKFQ294405805|11
cho_iaxx_1927_0006_000_0000|34|NYQYUH524414774|11
cho_iaxx_1931_0010_000_0000|39|ILXOJM047167290|11
cho_iaxx_1933_0012_000_0000|40|JPFTMP104462405|11
cho_iaxx_1933_0012_000_0000|16|FNCQNR831699308|11
cho_iaxx_1933_0012_000_0000|88|AVODFT144316455|11
cho_iaxx_1934_0013_000_0000|113|KBOJJL078328014|11
cho_iaxx_1934_0013_000_0000|54|RNMUGJ644713046|11
cho_iaxx_1938_0017_000_0000|19|VYGSRY423247748|11
cho_iaxx_1938_0017_000_0000|80|IALRJI333263322|11
cho_iaxx_1938_0017_000_0000|84|IMNYWA187674808|11
cho_iaxx_1945_0021_000_0000|103|MTXHHP611091312|11
cho_iaxx_1946_0022_000_0000|67|UUBZWE135662331|11
cho_iaxx_1946_0022_000_0000|86|ZODFDY780642404|11
cho_iaxx_1947_0023_000_0000|40|MTFNZE406129992|11
cho_iaxx_1947_0023_000_0000|85|KZCXNK281954479|11
cho_iaxx_1948_0024_000_0000|42|EWULGY067231525|11
cho_iaxx_1948_0024_000_0000|73|PHRTTN290213393|11
cho_iaxx_1949_0025_000_0000|95|MSOEFI669065376|11
cho_iaxx_1950_0026_000_0000|67|VSHLRY836125213|11
cho_iaxx_1950_0026_000_0000|92|BFXQXA036568556|11
cho_iaxx_1951_0027_000_0000|109|RYETOJ074687069|11
cho_iaxx_1951_0027_000_0000|46|ANETJT942910908|11
cho_iaxx_1951_0027_000_0000|97|AVRPXV721114427|11
cho_iaxx_1954_0030_000_0000|125|OQDRZR885403513|11
cho_iaxx_1954_0030_000_0000|17|AYPALI530588375|11
cho_iaxx_1954_0030_000_0000|133|XKCFLZ367461203|11
cho_iaxx_1955_0031_000_0000|115|UMSKGC391003846|11
cho_iaxx_1955_0031_000_0000|20|XGCLKW546164062|11
cho_iaxx_1955_0031_000_0000|28|LXFWWR794492158|11
cho_iaxx_1955_0031_000_0000|52|OWACSQ932369670|11
cho_iaxx_1956_0032_000_0000|112|JARGCV279294887|11
cho_iaxx_1956_0032_000_0000|81|POKLOX481832780|11
cho_iaxx_1957_0033_000_0000|16|DREVVM370227170|11
cho_iaxx_1958_0034_000_0000|110|QGXFVH192877613|11
cho_iaxx_1958_0034_000_0000|117|IUJDSL731602207|11
cho_iaxx_1958_0034_000_0000|53|RXEUSQ691371744|11
cho_iaxx_1958_0034_000_0000|84|ZUQERN438846964|11
cho_iaxx_1959_0035_000_0000|30|LXDXSB230792346|11
cho_iaxx_1959_0035_000_0000|64|ERQZLA967553612|11
cho_iaxx_1961_0037_000_0000|47|OEVLJD547865166|11
cho_iaxx_1962_0038_000_0000|60|TRXAGV070778153|11
cho_iaxx_1962_0038_000_0000|59|WRTTUA136423681|11
cho_iaxx_1962_0038_000_0000|79|NWPNCX722370223|11
cho_iaxx_1966_0042_000_0000|110|NPLIJI482288976|11
cho_iaxx_1966_0042_000_0000|49|IYYRYV373332987|11
cho_iaxx_1966_0042_000_0000|52|BUVHHO554638994|11
cho_iaxx_1966_0042_000_0000|77|GYLQRT693232333|11
cho_iaxx_1967_0043_000_0000|20|HLQYVQ801017708|11
cho_iaxx_1967_0043_000_0000|47|HFLIYZ755523372|11
cho_iaxx_1968_0044_000_0000|53|YQPPCH677782529|11
cho_iaxx_1968_0044_000_0000|77|JLMKXG168904383|11
cho_iaxx_1968_0044_000_0000|82|PDSSGD848303120|11
cho_iaxx_1969_0045_000_0000|20|RNMWHE746096335|11
cho_iaxx_1971_0047_000_0000|27|DLONSB013529262|11
cho_iaxx_1972_0048_000_0000|20|KALRAK619782324|11
cho_iaxx_1973_0049_000_0000|18|JCMATH743112225|11
cho_iaxx_1973_0049_000_0000|40|UBMVUO741018652|11
cho_iaxx_1973_0049_000_0000|90|IBYFLO956884223|11
cho_iaxx_1974_0050_000_0000|97|XYFMSO473254434|11
cho_iaxx_1975_0051_000_0000|93|XIJTJI921611550|11
cho_iaxx_1977_0053_000_0000|88|RSLATA935502852|11
cho_iaxx_1978_0054_000_0000|94|JUXRXX508262894|11
cho_iaxx_1979_0055_000_0000|102|FNVZNO684326275|11
cho_iaxx_1979_0055_000_0000|18|MNMDGQ440839147|11
cho_book_1979_brownlie_000_0000|112|OUDJRJ097521824|10
cho_book_1979_brownlie_000_0000|53|STKTII588070301|10
cho_book_1979_brownlie_000_0000|96|ZFECZJ806028780|10
cho_byil_1931_0012_000_0000|33|IVVWJG000570610|10
cho_diax_1959_0000_000_0000|176|FXVRSS911674244|10
cho_iaxx_1924-1925_0004_000_0000|19|BSBCZG465927947|10
cho_iaxx_1927_0006_000_0000|27|PJYCPO878022329|10
cho_iaxx_1932_0011_000_0000|84|BCMVFB072361999|10
cho_iaxx_1934_0013_000_0000|108|KDJQIM429689231|10
cho_iaxx_1934_0013_000_0000|53|YVHNBW901439715|10
cho_iaxx_1935_0014_000_0000|129|CSOGHL442098545|10
cho_iaxx_1935_0014_000_0000|44|QYHSMN685776411|10
cho_iaxx_1935_0014_000_0000|60|BOFIIK329356031|10
cho_iaxx_1935_0014_000_0000|80|CREPBD743701040|10
cho_iaxx_1936_0015_000_0000|18|CEMMYU655353727|10
cho_iaxx_1936_0015_000_0000|83|KBSQVQ082154311|10
cho_iaxx_1937_0016_000_0000|16|EUUNLD055812960|10
cho_iaxx_1937_0016_000_0000|38|FLYTYX701558901|10
cho_iaxx_1937_0016_000_0000|39|BUXQUL180157097|10
cho_iaxx_1937_0016_000_0000|76|JEFFFR124095463|10
cho_iaxx_1937_0016_000_0000|81|GFAITL140526610|10
cho_iaxx_1938_0017_000_0000|17|GBTVGH902712380|10
cho_iaxx_1938_0017_000_0000|134|YUVOSC216793724|10
cho_iaxx_1938_0017_000_0000|22|LCUVRB295053041|10
cho_iaxx_1940-1943_0019_000_0000|312|NQXJWY213591332|10
cho_iaxx_1940-1943_0019_000_0000|223|FJNBZK255305974|10
cho_iaxx_1940-1943_0019_000_0000|307|EDFCOB166490507|10
cho_iaxx_1944_0020_000_0000|27|AJMQEP259098016|10
cho_iaxx_1945_0021_000_0000|40|THZCKH766089188|10
cho_iaxx_1945_0021_000_0000|96|FOBLBE809276729|10
cho_iaxx_1946_0022_000_0000|95|APJDCQ251710542|10
cho_iaxx_1949_0025_000_0000|109|INQPCD314986397|10
cho_iaxx_1949_0025_000_0000|54|CSMAVC666902316|10
cho_iaxx_1949_0025_000_0000|77|ZJRNJI891431657|10
cho_iaxx_1949_0025_000_0000|65|USJXHE316166433|10
cho_iaxx_1949_0025_000_0000|85|CJJQVE010599505|10
cho_iaxx_1949_0025_000_0000|83|GTFESA363505847|10
cho_iaxx_1950_0026_000_0000|133|OLRNLG690468964|10
cho_iaxx_1950_0026_000_0000|19|PQHFTU610305884|10
cho_iaxx_1950_0026_000_0000|80|RIQYNP148001462|10
cho_iaxx_1951_0027_000_0000|110|XXGIWM532372469|10
cho_iaxx_1951_0027_000_0000|26|RVZIRQ144858977|10
cho_iaxx_1951_0027_000_0000|53|ERZPEZ937698726|10
cho_iaxx_1951_0027_000_0000|85|SOOKCP549560941|10
cho_iaxx_1954_0030_000_0000|104|GMMHRF161520727|10
cho_iaxx_1954_0030_000_0000|52|VMVIWU718113116|10
cho_iaxx_1955_0031_000_0000|59|TOZEWO397827894|10
cho_iaxx_1955_0031_000_0000|88|RRKYBZ536940582|10
cho_iaxx_1956_0032_000_0000|47|TBGHBR153132227|10
cho_iaxx_1956_0032_000_0000|32|VPHYOA468227808|10
cho_iaxx_1957_0033_000_0000|103|FSEUZN412983955|10
cho_iaxx_1958_0034_000_0000|30|IFEXEW357116781|10
cho_iaxx_1958_0034_000_0000|28|EEPEVD858040786|10
cho_iaxx_1958_0034_000_0000|92|EMGRFK187684692|10
cho_iaxx_1959_0035_000_0000|103|VZPFBW133859201|10
cho_iaxx_1959_0035_000_0000|131|LQTFIP429344972|10
cho_iaxx_1959_0035_000_0000|51|EYZHWF370425218|10
cho_iaxx_1960_0036_000_0000|65|LYVTRF031585877|10
cho_iaxx_1960_0036_000_0000|34|UODRFC784984930|10
cho_iaxx_1960_0036_000_0000|28|HUURIJ510026170|10
cho_iaxx_1961_0037_000_0000|24|JLASQG664598077|10
cho_iaxx_1961_0037_000_0000|43|QPULLC511005416|10
cho_iaxx_1962_0038_000_0000|88|UIUYQH042367453|10
cho_iaxx_1963_0039_000_0000|19|NRXVVJ980842705|10
cho_iaxx_1963_0039_000_0000|17|VHFRXY811002901|10
cho_iaxx_1965_0041_000_0000|104|LHGXKR268546687|10
cho_iaxx_1965_0041_000_0000|95|GFYUNM948980836|10
cho_iaxx_1966_0042_000_0000|105|PXTPFR385432920|10
cho_iaxx_1966_0042_000_0000|45|RSWLMV187308818|10
cho_iaxx_1967_0043_000_0000|105|YSSTWK377650214|10
cho_iaxx_1967_0043_000_0000|50|EYVQBK700189790|10
cho_iaxx_1967_0043_000_0000|51|KTPNQG227203986|10
cho_iaxx_1968_0044_000_0000|112|RTPYKY949490956|10
cho_iaxx_1969_0045_000_0000|21|CUHDQK654673087|10
cho_iaxx_1969_0045_000_0000|76|GLIUXW903261913|10
cho_iaxx_1971_0047_000_0000|102|KMEOLU334705586|10
cho_iaxx_1971_0047_000_0000|67|HRKCQI066207148|10
cho_iaxx_1971_0047_000_0000|47|QZUMGT340803016|10
cho_iaxx_1971_0047_000_0000|75|ASNREG063251315|10
cho_iaxx_1973_0049_000_0000|22|YXAMZL882571019|10
cho_iaxx_1973_0049_000_0000|16|JOMLXH931485710|10
cho_iaxx_1973_0049_000_0000|19|IVMJMK443207217|10
cho_iaxx_1973_0049_000_0000|64|HAIKLD968242801|10
cho_iaxx_1974_0050_000_0000|21|BMRDFT764886526|10
cho_iaxx_1975_0051_000_0000|90|PTDNCJ105863427|10
cho_iaxx_1976_0052_000_0000|16|EDVQKI103656385|10
cho_iaxx_1978_0054_000_0000|18|YQZXEQ146870154|10
cho_iaxx_1979_0055_000_0000|44|RQXKEN784085537|10
cho_book_1979_brownlie_000_0000|72|JJTLXO375679788|9
cho_book_1979_brownlie_000_0000|65|TBEEOZ665052694|9
cho_book_1979_brownlie_000_0000|76|ZPPIZY539087070|9
cho_book_1979_brownlie_000_0000|88|ZUGACL307812022|9
cho_diax_1932_0000_000_0000|100|DGEINN891058640|9
cho_iaxx_1930_0009_000_0000|60|FNTNYY481609835|9
cho_iaxx_1932_0011_000_0000|59|CBXQBF870472243|9
cho_iaxx_1933_0012_000_0000|74|SNLVWB850160274|9
cho_iaxx_1933_0012_000_0000|29|UQDVMC379678765|9
cho_iaxx_1933_0012_000_0000|48|NGDDRD394397102|9
cho_iaxx_1934_0013_000_0000|38|WYEBDZ844797683|9
cho_iaxx_1934_0013_000_0000|51|RMJZFT936560815|9
cho_iaxx_1934_0013_000_0000|89|JZAMRR974619255|9
cho_iaxx_1934_0013_000_0000|88|FUVSGE359730446|9
cho_iaxx_1935_0014_000_0000|106|VNIUCY059295342|9
cho_iaxx_1935_0014_000_0000|21|ZRSVDK860799964|9
cho_iaxx_1936_0015_000_0000|112|FDUJJQ822132481|9
cho_iaxx_1937_0016_000_0000|119|QOGQQV621213510|9
cho_iaxx_1937_0016_000_0000|125|EFNNRS257606288|9
cho_iaxx_1937_0016_000_0000|13|WRSCGH624243709|9
cho_iaxx_1938_0017_000_0000|66|IFBBZW485763530|9
cho_iaxx_1938_0017_000_0000|125|NTHBKZ831092934|9
cho_iaxx_1940-1943_0019_000_0000|216|QNHJPK191680342|9
cho_iaxx_1940-1943_0019_000_0000|248|YVAANC269402930|9
cho_iaxx_1944_0020_000_0000|92|ICLYRH699825161|9
cho_iaxx_1945_0021_000_0000|68|MTMXUK751142853|9
cho_iaxx_1946_0022_000_0000|92|SUCRIW843151845|9
cho_iaxx_1947_0023_000_0000|27|FVWEZJ090909076|9
cho_iaxx_1947_0023_000_0000|24|YNBDDH833980529|9
cho_iaxx_1947_0023_000_0000|53|MFILZW269994172|9
cho_iaxx_1948_0024_000_0000|107|OUGTWO436331457|9
cho_iaxx_1948_0024_000_0000|114|HNOBFM613427205|9
cho_iaxx_1948_0024_000_0000|45|FDWPRU994798663|9
cho_iaxx_1948_0024_000_0000|51|JURSGA568162922|9
cho_iaxx_1948_0024_000_0000|83|MWVJVU547610580|9
cho_iaxx_1949_0025_000_0000|113|ZVYFGH004923854|9
cho_iaxx_1949_0025_000_0000|108|MVBKQP057731667|9
cho_iaxx_1949_0025_000_0000|112|EQCDST994676099|9
cho_iaxx_1949_0025_000_0000|119|CDFKYG465219826|9
cho_iaxx_1949_0025_000_0000|117|RLGFXW883210643|9
cho_iaxx_1949_0025_000_0000|47|BPNLLS938100185|9
cho_iaxx_1949_0025_000_0000|36|LLWOUY414207132|9
cho_iaxx_1949_0025_000_0000|58|XCIJLY506944844|9
cho_iaxx_1949_0025_000_0000|94|FXNAZU387354906|9
cho_iaxx_1950_0026_000_0000|32|WGIMUM272536787|9
cho_iaxx_1950_0026_000_0000|53|UWARZC965959606|9
cho_iaxx_1951_0027_000_0000|124|UPSIRM921469933|9
cho_iaxx_1951_0027_000_0000|21|QAJDAZ498018380|9
cho_iaxx_1951_0027_000_0000|54|EJRCHW907193086|9
cho_iaxx_1951_0027_000_0000|80|GVFXVO048213428|9
cho_iaxx_1952_0028_000_0000|122|TNXFIW294067168|9
cho_iaxx_1952_0028_000_0000|16|BFERSG683132286|9
cho_iaxx_1952_0028_000_0000|25|VVMPXU556648359|9
cho_iaxx_1952_0028_000_0000|55|OAPTOK328364173|9
cho_iaxx_1952_0028_000_0000|57|TZZBGJ499668847|9
cho_iaxx_1954_0030_000_0000|105|IZOOFW554448972|9
cho_iaxx_1954_0030_000_0000|29|WQCNPX872165170|9
cho_iaxx_1954_0030_000_0000|60|KIMLJF354607662|9
cho_iaxx_1954_0030_000_0000|64|MHAKXM218808064|9
cho_iaxx_1955_0031_000_0000|18|CNOGDC988647121|9
cho_iaxx_1955_0031_000_0000|82|ZQPAOF704298129|9
cho_iaxx_1956_0032_000_0000|117|PLHPIP727033701|9
cho_iaxx_1956_0032_000_0000|90|BRPNEK314554544|9
cho_iaxx_1958_0034_000_0000|85|PQRGEX693929096|9
cho_iaxx_1959_0035_000_0000|29|ZVTHDT284943669|9
cho_iaxx_1959_0035_000_0000|62|SBPSHS844277812|9
cho_iaxx_1959_0035_000_0000|94|WAVBYL375370036|9
cho_iaxx_1959_0035_000_0000|97|BKQTCK131272257|9
cho_iaxx_1960_0036_000_0000|33|WSTIQE885712870|9
