psmid|articleid|gift_title|gift_authors|htc_authors|gift_asset_id|atlas_uid
cho_meet_1946_1206_000_0000|1|Nuclear Energy and its Uses|Sir George Thomson F. R. S.|Sir George Thomson F. R. S.|LOAGCP051544662|13724836
cho_meet_1946_1210_000_0000|1|Factors Underlying British Foreign Policy|Arthur Bryant|Arthur Bryant|TMHYIZ892921368|13688085
cho_meet_1946_1211_000_0000|1|The General Shipping Situation|The Hon. Sir John S. Maclay C. M. G., M. P.|The Hon. Sir John S. Maclay C. M. G., M. P.|KXOVPI508635377|22247701
cho_meet_1946_1212_000_0000|1|The Situation in Egypt|The Hon. Mamdouh Riaz|The Hon. Mamdouh Riaz|OAPJDF647392697|22221838
cho_meet_1946_1215_000_0000|1|Austria Today|Dr. Heinrich Schmid|Dr. Heinrich Schmid|TTQJDE360792808|22248851
cho_meet_1946_1217_000_0000|1|Some Regional Economic Problems of the Middle East|Keith A. H. Murray|Keith A. H. Murray|DLWWIZ547202629|22219899
cho_meet_1946_1220_000_0000|1|The Situation in India|H. V. Hodson|H. V. Hodson|BPPXJZ889381696|14537022
cho_meet_1946_1221_000_0000|1|Constitutional Problems in France|Dr. Alfred Cobban|Dr. Alfred Cobban|XRZPJO473796051|14580320
cho_meet_1946_1222_000_0000|1|Factors Underlying British Foreign Policy Today – Iv|||EYDMAY583400373|
cho_meet_1946_1229_000_0000|1|Poland and the Continent (Discussion Only)|Dr. J. H. Retinger|Dr. J. H. Retinger|NEBUNM218851797|22217001
cho_meet_1946_1232_000_0000|1|The Netherlands East Indies 1942-6|A. T. Crighton|A. T. Crighton|XGSYXA419360529|22212958
cho_meet_1946_1234_000_0000|1|South Africa: After Segregation, what?|Maurice Webb|Maurice Webb|UBMRAP687991325|22221842
cho_meet_1946_1235_000_0000|1|The Church and International Affairs|Canon Cyril Hudson|Canon Cyril Hudson|NXAUUN326728749|22213896
cho_meet_1946_1237_000_0000|1|The Different Meanings of Democracy|Lord Lindsay|Lord  Lindsay of Birker|HAZRPP099793691|18070054
cho_meet_1946_1240_000_0000|1|Reconstruction and Reform in China|W. L. Holland|W. L. Holland|IRQDWO091802435|22212744
cho_meet_1946_1241_000_0000|1|Anglo-American Post-War Economic Relations|Professor Jacob Viner Ph. D., Ll. D.|Professor Jacob Viner Ph. D., Ll. D.|LHOITS979326997|14478022
cho_meet_1946_1243_000_0000|1|The Palestine Report|R. H. S. Crossman M. P.|R. H. S. Crossman M. P.|IMEHZJ172170432|13679140
cho_meet_1946_1245_000_0000|1|The United States in Search of a Peace Policy|Dr. Arnold Wolfers|Dr. Arnold Wolfers|EDXXLD326760248|18030790
cho_meet_1946_1246_000_0000|1|The World Food Situation|Sir Jack Drummond F. R. S.|Sir Jack Drummond F. R. S.|UYFCYZ921665023|22241746
cho_meet_1946_1248_000_0000|1|World Labour Standards|G. D. A. MacDougall C. B. E., M. A.|G. D. A. MacDougall C. B. E., M. A.|BKZJXU997532643|14719278
cho_meet_1946_1251_000_0000|1|The Annual Dinner|Viscount Astor / Lord Halifax / General Sir Ronald Adam / Walter Nash / Sir Frederick Handley Page|General Sir Ronald Adam|DBJAWK443887498|22218521
cho_meet_1946_1251_000_0000|1|The Annual Dinner|Viscount Astor / Lord Halifax / General Sir Ronald Adam / Walter Nash / Sir Frederick Handley Page|Lord  Halifax|DBJAWK443887498|13739510
cho_meet_1946_1251_000_0000|1|The Annual Dinner|Viscount Astor / Lord Halifax / General Sir Ronald Adam / Walter Nash / Sir Frederick Handley Page|Sir Frederick Handley Page|DBJAWK443887498|14831652
cho_meet_1946_1251_000_0000|1|The Annual Dinner|Viscount Astor / Lord Halifax / General Sir Ronald Adam / Walter Nash / Sir Frederick Handley Page|Viscount  Astor|DBJAWK443887498|22247959
cho_meet_1946_1251_000_0000|1|The Annual Dinner|Viscount Astor / Lord Halifax / General Sir Ronald Adam / Walter Nash / Sir Frederick Handley Page|Walter Nash|DBJAWK443887498|14801607
cho_meet_1946_1252_000_0000|1|Great Britain and the Arab World|A. H. Hourani|A. H. Hourani|KMRMHF370981829|14499436
cho_meet_1946_1254_000_0000|1|Recent Events in Sarawak and Malaya|David Gammans M. P.|David Gammans M. P.|ZRDGTA474981513|22214757
cho_meet_1946_1256_000_0000|1|Policies and Tendencies in Latin America|Dr. R. A. Humphreys|Dr. R. A. Humphreys|MCQOJY537033843|14549112
cho_meet_1946_1257_000_0000|1|Russia in Europe: The Conflict of Values|Edward Crankshaw|Edward Crankshaw|PNTCKC440983442|14686090
cho_meet_1946_1260_000_0000|1|Propaganda in Wartime|Sir Robert Bruce-Lockhart K. C. M. G.|Sir Robert Bruce-Lockhart K. C. M. G.|QRWCDD019513677|15066841
cho_meet_1946_1262_000_0000|1|U. N. E. S. C. O.|Dr. Howard Wilson|Dr. Howard Wilson|GVNTDR555562775|22216990
cho_meet_1946_1265_000_0000|1|The Future of Germany|Lindley Fraser|Lindley Fraser|XIBNKI944824639|22220640
cho_meet_1946_1267_000_0000|1|Burma|Colonel the Rt. Hon Sir Reginald Dorman-Smith G. B. E.|Colonel the Rt. Hon Sir Reginald Dorman-Smith G. B. E.|UIBAXJ006537938|22214640
cho_meet_1946_1268_000_0000|1|Conditions in Yugoslavia|F. C. Waddams|F. C. Waddams|QIGTXF690214830|22251292
cho_meet_1946_1270_000_0000|1|The International Air Transport Situation|John C. Cooper|John C. Cooper|NTPPJO078935017|14620048
cho_meet_1946_1272_000_0000|1|Political and Social Conditions in Italy|Count Carlo Sforza LL. D.|Count Carlo Sforza LL. D.|WFGROQ861466888|14919385
cho_meet_1946_1274_000_0000|1|The Middle East and Imperial Strategy|Colonel W. G. Elphinston, M.C.||PKDERT670698604|
cho_meet_1946_1276_000_0000|1|Impressions of the Peace Conference|Professor A. G. B. Fisher|Professor A. G. B. Fisher|BSYFWU519927908|13605011
cho_meet_1946_1277_000_0000|1|Poland|Dr. P. N. Rosenstein Rodan|Dr. P. N. Rosenstein Rodan|DPZPJV989660192|14327818
cho_meet_1946_1279_000_0000|1|Egypt and the Arab League|Professor H. S. Deighton|Professor H. S. Deighton|HPGPLN831344390|22236352
cho_meet_1946_1280_000_0000|1|The Impact of War on South East Asia|Alan Campbell-Johnson O. B. E.|Alan Campbell-Johnson O. B. E.|DGVNPJ628252881|14670502
cho_meet_1946_1281_000_0000|1|British Policy towards Germany|||BZWFER720973328|
cho_meet_1946_1283_000_0000|1|Peace-Making, 1919 and 1946|The Hon. Harold Nicolson C. M. G.|The Hon. Harold Nicolson C. M. G.|PILTZZ935481904|13744025
cho_meet_1946_1285_000_0000|1|The Eastern Countries and the European Order|Monsieur Grigoire Gafencu|Monsieur Grigoire Gafencu|BBYANW225286038|14586117
cho_meet_1946_1288_000_0000|1|The Nuremberg Trials|The Rt. Hon. Lord Justice  Lawrence D. S. O., T. D.|The Rt. Hon. Lord Justice  Lawrence D. S. O., T. D.|YMOFIO280062541|14738420
cho_meet_1946_1291_000_0000|1|The Indian Political Scene|Sir Frederick James O. B. E.|Sir Frederick James O. B. E.|AVGLHV045108979|22241124
cho_meet_1946_1294_000_0000|1|The Work of the Caribbean Commission|Sir Frank Stockdale GCMG., CBE|Sir Frank Stockdale GCMG., CBE|QSDFKB461802821|22241103
cho_meet_1946_1295_000_0000|1|Anglo-Argentine Economic Relations in the Light of the Recent Agreement|Sir Wilfrid Eady KCB, KBE, CMG.|Sir Wilfrid Eady KCB, Kbe, CMG.|JNXZDI786194613|22247097
cho_meet_1947_1355_000_0000|1|French Views on the German Problem|Paul Mantoux Litt. D., C. B.|Paul Mantoux Litt. D., C. B.|URSCTS413495088|22233708
cho_meet_1947_1359_000_0000|1|American Politics and Economic Policy|Graham Hutton|Graham Hutton|YWMQJN147909295|22214684
cho_meet_1947_1372_000_0000|1|The British Fishing Industry and Some of its International Implications|A. T. A. Dobson CB., Cvo., CBE|A. T. A. Dobson CB., Cvo., CBE|BRPSWC309291635|22212956
cho_meet_1947_1373_000_0000|1|Mood of Germany Today|Christopher Holme|Christopher Holme|HENPJR594738724|21393109
cho_meet_1947_1375_000_0000|1|The World Food Situation|J. E. Wall O. B. E.|J. E. Wall O. B. E.|BFATKE627810993|22272723
cho_meet_1947_1376_000_0000|1|The United Nations Assembly|Mr. Martin Wight|Mr. Martin Wight|ITUERX251926297|15047043
cho_meet_1947_1378_000_0000|1|Some Aspects of the German Problem|Michael Balfour O. B. E.|Michael Balfour O. B. E.|WVTRLX493400370|14387415
cho_meet_1947_1379_000_0000|1|Native Administration in Africa|The Lord Hailey G. C.s. I., G. S. I. E., Hon. D. C. I.|The Lord  Hailey G. C.s. I., G. S. I. E., Hon. D. C. I.|GIYYQG450291677|22247720
cho_meet_1947_1381_000_0000|1|Central America|Mr. Peter Smithers|Mr. Peter Smithers|HBJJBF436164283|14934112
cho_meet_1947_1382_000_0000|1|Economic Development of South-East Asia|Dr. P. N. Rosenstein-Rodan|Dr. P. N. Rosenstein-Rodan|VRDASS082758529|14327818
cho_meet_1947_1385_000_0000|1|Conditions in China|Gerald Samson F. R. G. S., F. R. A. S.|Gerald Samson F. R. G. S., F. R. A. S.|GPDROY298255790|22218980
cho_meet_1947_1388_000_0000|1|Native Policies in Southern Africa|The Right Hon. Lord  Harlech G. C. M. G.|The Right Hon. Lord  Harlech G. C. M. G.|JLVKQD027981218|14003551
cho_meet_1947_1390_000_0000|1|International Legal Theories Evolved at Nuremberg|The Hon. Mr. Justice  Birkett K. C.|The Hon. Mr. Justice  Birkett K. C.|ZHNGQV534704113|22247577
cho_meet_1947_1392_000_0000|1|The United Nations and Full Employment|Alexander Loveday Hon. D. Litt (McGill University)|Alexander Loveday Hon. D. Litt (McGill University)|PGGYDT357646754|22213174
cho_meet_1947_1394_000_0000|1|America Views the World : 1919 and 1947|Professor Arthur Newell M. A.|Professor Arthur Newell M. A.|ZSZDMP681285732|22292303
cho_meet_1947_1396_000_0000|1|International Implications of the Economic Survey, 1947|Mr. Roy Harrod|Mr. Roy Harrod|DLEZMU273550728|14511396
cho_meet_1947_1398_000_0000|1|Current Indian Affairs|Sudhir Ghosh|Sudhir Ghosh|MDDSMM914373481|22247553
cho_meet_1947_1399_000_0000|1|Developments in the U. S. Zone|Dr. C. J. Friedrich|Dr. C. J. Friedrich|TBHHXJ378361368|13608868
cho_meet_1947_1401_000_0000|1|The Situation in Burma|The Rev. G. Appleton|The Rev. G. Appleton|BAKMIX848186968|14367494
cho_meet_1947_1402_000_0000|1|The Moscow Conference|O. H. Brandon|O. H. Brandon|WIHADG693704582|14544943
cho_meet_1948_1497_000_0000|1|France After the Communist Putsch|Dr. Alfred Cobban|Dr. Alfred Cobban|JSYSQD406240548|14580320
cho_meet_1948_1501_000_0000|1|Colonial Development Projects|D. R. Rees-Williams M. P.|D. R. Rees-Williams M. P.|BCFXLD222836632|22214690
cho_meet_1948_1506_000_0000|1|The Export Drive and the Future|A. H. S. Hinchcliffe|A. H. S. Hinchcliffe|MMNAVG874689881|22248183
cho_meet_1948_1509_000_0000|1|The Cominform and the Political Conflict in Europe|Mr. Denis Healey|Mr. Denis Healey|XOYBYT209044253|13039144
cho_meet_1948_1511_000_0000|1|The Work of UNESCO|Sir John Maud KCB., CBE.|Sir John Maud KCB., CBE.|BYMJFK206674838|14328468
cho_meet_1948_1512_000_0000|1|The Functional Approach to World Organisation|Professor David Mitrany D. Sc., Ph. D.|Professor David Mitrany D. Sc., Ph. D.|UAKZFW722390582|14814157
cho_meet_1948_1515_000_0000|1|Prospects for Closer European Economic Integration|A. D. Marris C. M. G.|A. D. Marris C. M. G.|HAXMFC093032978|22248181
cho_meet_1948_1519_000_0000|1|The Refugee Problem|Sir Herbert Emerson G. C. I. E., K. C. S. I., C. B. E.|Sir Herbert Emerson G. C. I. E., K. C. S. I., C. B. E.|GOWQBB916846205|13702304
cho_meet_1948_1529_000_0000|1|Germany after Two Wars|Lady Grant M. P.|Lady  Grant M. P.|BHYCNF517563003|
cho_meet_1948_1530_000_0000|1|European Co-operation II: Economic||Maurice Zinkin|HWSRDX763255699|22208060
cho_meet_1948_1532_000_0000|1|Christians and Communists in Europe|Mr. J. D. Woodruff|Professor William L. Langer|ZTDCHI365679213|14713323
cho_meet_1948_1534_000_0000|1|The Mechanism of American Foreign Policy|Professor William L. Langer|Dr. Ivo Duchacek|EKOXAW420574262|14341549
cho_meet_1948_1535_000_0000|1|The Italian Elections and their Repercussions|R. T. S. Macpherson|R. T. S. Macpherson|IHBZLW224460568|14747240
cho_meet_1948_1536_000_0000|1|International Implications of Recent Events in Czechoslovakia|Dr. Ivo Duchacek|Dr.  Hertz|LWLHBH234344205|22216502
cho_meet_1948_1539_000_0000|1|Constitutional Development in the British African Colonies|The Lord  Milverton G. C. M. G.|Mr.  Koeppler|JDKTGM874444622|
cho_meet_1948_1547_000_0000|1|European Co-operation III: Political and Military|Mr. Donald H. McLachlan O. B. E.|Mr. Donald H. McLachlan O. B. E.|HUDXRD927912204|22214840
cho_meet_1948_1550_000_0000|1|The Study of History in the Light of Current Developments|Professor Arnold J. Toynbee Hon. D. Litt., F. B. A.|Professor Arnold J. Toynbee Hon. D. Litt., F. B. A.|LOHQQZ838702087|13681323
cho_meet_1948_1553_000_0000|1|The Congress of Europe|Mr. Lionel Curtis|Mr. Lionel Curtis|TNDCED989010105|14647476
cho_meet_1948_1557_000_0000|1|The Problem of Berlin|J. Emlyn Williams Ph. D.|J. Emlyn Williams Ph. D.|RGEEOQ627179780|
cho_meet_1948_1564_000_0000|1|U. S. Presidential Elections: The System and the Prospects|Professor Edward Mead Earle|Professor Edward Mead Earle|EOJYXT129977202|14475548
cho_meet_1948_1566_000_0000|1|The Bogota Conference and Recent Developments in Pan-American Relations: A Mexican View|Francisco Cuevas|Francisco Cuevas|JIFNYS380305872|22255826
cho_meet_1948_1567_000_0000|1|Conditions in China|John Keswick|John Keswick|QMCTJJ740216114|22219704
cho_meet_1948_1572_000_0000|1|The Commonwealth and the Crisis|The Rt.Hon. R. G. Menzies P. C., K. C., M. H. R.|The Rt.Hon. R. G. Menzies P. C., K. C., M. H. R.|LYDXYA244509303|13647632
cho_meet_1948_1579_000_0000|1|Communism in Latin America|Mr. J. Halcro Ferguson|Mr. J. Halcro Ferguson|ENQUCO347699888|14486479
cho_meet_1948_1580_000_0000|1|The Work of the I. R. O.|Sir Arthur Rucker K. C. M. G., C. B., C. B. E.|Sir Arthur Rucker K. C. M. G., C. B., C. B. E.|GQOYNO233418364|22240210
cho_meet_1948_1582_000_0000|1|The Marshall Plan in Operation|Thomas K. Finletter|Thomas K. Finletter|NGOHJO263389587|14477437
cho_meet_1948_1583_000_0000|1|The Ex-Italian Colonies|F. E. Stafford C. B. E.|F. E. Stafford C. B. E.|FBBXFO787817282|22255012
cho_meet_1948_1588_000_0000|1|Recent Events and the Present Outlook in France|Mrs. Dorothy M. Pickles|Mrs. Dorothy M. Pickles|TIYCRU339139401|14834942
cho_meet_1948_1589_000_0000|1|India in Transition|Mr Campbell-Johnson|Mr  Campbell-Johnson|VRXDIT791059265|14670502
cho_meet_1948_1596_000_0000|1|The Wroclaw Congress and After|Professor Denis Saurat|Professor Denis Saurat|PHTSFO283985403|22234563
cho_meet_1948_1602_000_0000|1|Communism and Nationalism in South East Asia|B. H. M. Vlekke|B. H. M. Vlekke|DHHHBR201287043|22232185
cho_meet_1949_1645_000_0000|1|The United Nations in a Divided World: An Attempted Assessment|Miss K. D. Courtney C. B. E.|Miss K. D. Courtney C. B. E.|NVNXDD994420235|22222002
cho_meet_1949_1655_000_0000|1|America and Power Politics|Mr. Donald H. McLachlan O. B. E.|Mr. Donald H. McLachlan O. B. E.|KZRBBR242139812|22214840
cho_meet_1949_1660_000_0000|1|British Policy in South East Asia|David Gammans M. P.|David Gammans M. P.|FVBIRV493917196|22214757
cho_meet_1949_1664_000_0000|1|A Communist China: Problems at Home and Abroad|Trevor S. Powell|Trevor S. Powell|VWAGQS115175475|22233187
cho_meet_1949_1667_000_0000|1|Observations on Colonial Planning|W. E. H. Stanner|W. E. H. Stanner|LAPGFB303935868|13985994
cho_meet_1949_1670_000_0000|1|The State of Israel|Selig Brodetsky M. A., B. Sc., Ph. D.|Selig Brodetsky M. A., B. Sc., Ph. D.|EANXFP034680550|13686350
cho_meet_1949_1676_000_0000|1|Economic Developments in Western Germany|Sir Cecil Weir K. B. E., M. C., D. L.|Sir Cecil Weir K. B. E., M. C., D. L.|SEKZQA327559228|22241085
cho_meet_1949_1701_000_0000|1|Contemporary Forms of Association of States|M. Paul Devinat|M. Paul Devinat|FNNWKJ885664291|22221363
cho_meet_1949_1709_000_0000|1|The Rhodesian Outlook|Sir Miles Thomas D. F. C.|Sir Miles Thomas D. F. C.|EIVNUQ110174035|14328114
cho_meet_1949_1713_000_0000|1|China|G. F. Hudson|G. F. Hudson|CPDQQQ731074638|14537194
cho_meet_1949_1724_000_0000|1|L'Union Francaise|Le Professeur C. A. Julien|Le Professeur C. A. Julien|LLINGG746932063|13688751
cho_meet_1950_1771_000_0000|1|Greece Relapse or Recovery?|Geoffrey Chandler|Geoffrey Chandler|SFCNSD266830918|15038058
cho_meet_1950_1773_000_0000|1|The Dollar-Sterling Problem|Roy Harrod|Roy Harrod|KUZOFM305632544|14511396
cho_meet_1950_1782_000_0000|1|The Peasantry of S. E. Asia|Professor Raymond Firth|Professor Raymond Firth|XPVBYR999047257|13604650
cho_meet_1950_1803_000_0000|1|Uncertain Japan|Monsieur Guillain|Monsieur Guillain|ZIXGGX448861529|22300590
cho_meet_1950_1815_000_0000|1|The American Stake in Europe: Retrospect and Prospect|Professor Edward Mead Earle|Professor Edward Mead Earle|CZTXQL961780435|14475548
cho_meet_1950_1825_000_0000|1|Industrial Development in India|Sir C. P. Ramaswami Aiyar K. C. S., K. C. E., Ll. D|Sir C. P. Ramaswami Aiyar K. C. S., K. C. E., Ll. D|RTIOPG546655337|22241082
cho_meet_1950_1830_000_0000|1|The Partisans of Peace|Donald H. McLachlan O. B. E.|Donald H. McLachlan O. B. E.|VDLZFA085356753|22214840
cho_meet_1950_1833_000_0000|1|Second Stevenson Memorial Lecture|Monsieur Paul Henri Spaak|Monsieur Paul Henri Spaak|GZXWDI605695684|13723462
cho_meet_1950_1834_000_0000|1|The Council of Europe|Mr. Maurice Edelman|Mr. Maurice Edelman|GEXRKV934616079|14440016
cho_meet_1950_1836_000_0000|1|Impressions of a Recent Tour of SouthEast Asia|Victor Purcell|Victor Purcell|DVOJRT373658233|14323355
cho_meet_1950_1839_000_0000|1|Point Four|Sir Mark Turner|Sir Mark Turner|MZWEDR020362098|
cho_meet_1950_1848_000_0000|1|The Commonwealth and World Affairs|Professor F. H. Soward|Professor F. H. Soward|STLVXY073003366|22236312
cho_meet_1951_1896_000_0000|1|German Rearmament|Colonel T. W. Vigers O. B. E., M. C., D. C.|Colonel T. W. Vigers O. B. E., M. C., D. C.|USWEUW555567551|22224673
cho_meet_1951_1909_000_0000|1|Politics, Opinion and Feeling in America in the Present Crisis|Professor Arnold J. Toynbee Hon. D. Litt., F. B. A.|Professor Arnold J. Toynbee Hon. D. Litt., F. B. A.|QZARUT039908677|13681323
cho_meet_1951_1914_000_0000|1|Germany and Europe|Professor Carlo Schmid|Professor Carlo Schmid|AKSSKR140401517|13968129
cho_meet_1951_1922_000_0000|1|Great Britain and Egypt: A Reconsideration|Professor H. A. R. Gibb|Professor H. A. R. Gibb|MCHLSN607675639|14569912
cho_meet_1951_1941_000_0000|1|The Scientific Versus the Moralistic Approach in International Affairs|Herbert Butterfield|Herbert Butterfield|DTSJZV356143974|14449798
cho_meet_1951_1947_000_0000|1|Technical Assistance: Programmes and Policies|Mr David Blelloch|Mr David Blelloch|JNNMHY909533737|
cho_meet_1951_1951_000_0000|1|Food Production Problems in India|Sir John Russell|Sir John Russell|HTMKMO910759306|18072083
cho_meet_1951_1956_000_0000|1|Dollar Exports in the Marshall Plan Period|Sir Cecil Weir|Sir Cecil Weir|PQXETV764116686|22241085
cho_meet_1951_1963_000_0000|1|The Fabric of American Opinion on Foreign Affairs|Henry M. Wriston|Henry M. Wriston|USMEUP757162945|13993751
cho_meet_1951_1972_000_0000|1|The Sterling Area|The Rt. Hon. Hugh Gaitskell CBE., MP.|The Rt. Hon. Hugh Gaitskell CBE., MP.|FEJQQQ395180466|13700956
cho_meet_1952_2023_000_0000|1|The Sterling Area Crisis: Some Reflections on the Conference of Commonwealth Finance Ministers|Professor F. W. Paish M. C.|Professor F. W. Paish M. C.|MVCHOG233820712|14869566
cho_meet_1952_2024_000_0000|1|The Future of the Council of Europe|Robert J. Boothby M. P.|Robert J. Boothby M. P.|QQFLNH388917579|14377103
cho_meet_1952_2030_000_0000|1|Ireland: The Republic Outside the Commonwealth|Professor Nicholas Mansergh OBE.., D. Phil.|Professor Nicholas Mansergh OBE.., D. Phil.|BBBZDS013773644|14764405
cho_meet_1952_2035_000_0000|1|The Present Situation in Kashmir|The Lord Birdwood M. V. O.|The Lord Birdwood M. V. O.|TCTFIX395990889|14585446
cho_meet_1952_2043_000_0000|1|Public Opinion and Foreign Policy in the United States|Walter Lippmann|Walter Lippmann|VKGVHC963298642|13015286
cho_meet_1952_2047_000_0000|1|The Present Constitutional Crisis in South Africa|Kenneth Kirkwood|Kenneth Kirkwood|TXMXFU236632619|14647610
cho_meet_1952_2070_000_0000|1|The State and Role of the French Communist Party|M. Raymond Aron|M. Raymond Aron|JEIRNU270326361|13491933
cho_meet_1953_2127_000_0000|1|Little Europe and Britain|Lord Layton|Lord Layton|KKEAKM274473504|22207970
cho_meet_1953_2144_000_0000|1|The Commonwealth at the Queen's Accession|Nicholas Mansergh|Nicholas Mansergh|ZOSYGJ881180543|14764405
cho_meet_1953_2146_000_0000|1|The Arab-Israel Frontier|Miss Elizabeth Monroe|Miss Elizabeth Monroe|VPKPUW045174403|14763187
cho_meet_1953_2150_000_0000|1|Our Military Attitude towards the Continent|Mr. Chester Wilmot|Mr. Chester Wilmot|XEKVWQ899560209|20419371
cho_meet_1953_2154_000_0000|1|Syria Today|Dr. Alford Carleton|Dr. Alford Carleton|IKVRWK273197714|22214876
cho_meet_1953_2159_000_0000|1|Satellite States in the Post-Stalin Era|Godfrey Lias|Godfrey Lias|OJHLSN073566072|14743595
cho_meet_1953_2162_000_0000|1|La Politique Etrangere Francaise a L'Egard De L'Allemagne Depuis La Guerre|M. Robert Schuman|M. Robert Schuman|VLOHYP739640961|13722090
cho_meet_1953_2167_000_0000|1|Les Problemes Economiques Et Politiques De La France|M. Antoine Pinay|M. Antoine Pinay|KNJVAZ559080254|14855566
cho_meet_1953_2169_000_0000|1|Yugoslavia on her Way towards a Socialist Democracy|H. E. Dr. Vladimir Velebit|H. E. Dr. Vladimir Velebit|LTVXFO691864589|22246927
cho_meet_1954_2211_000_0000|1|Western Enterprise in the Far East|Professor G. C. Allen|Professor G. C. Allen|COUYRA038578526|14359253
cho_meet_1954_2217_000_0000|1|The End of Empire: Another View|Kenneth Robinson|Kenneth Robinson|LQAEHQ002415864|14874725
cho_meet_1954_2227_000_0000|1|Development Programmes in Tropical Africa|The Rt. Hon. Lord Hailey GCSI., GCMG., GCIE|The Rt. Hon. Lord Hailey GCSI., GCMG., GCIE|TFUOPA295126147|22247720
cho_meet_1954_2229_000_0000|1|Origins and Development of the Anglo-French Entente|The Hon. Sir Harold Nicolson|The Hon. Sir Harold Nicolson|ZVEPKZ969288354|13744025
cho_meet_1954_2259_000_0000|1|Some Recent Developments in Canada|Mr H. R. MacMillan|Mr H. R. MacMillan|BLLASG617471434|22317447
cho_meet_1955_2293_000_0000|1|Colonial Development|Lord Chandos|Lord Chandos|AWWOUJ734852454|14000220
