"psmid"|"early_articlesequence"|"latest_articlesequence"|"early_fulltitle"|"latest_fulltitle"|"early_aucomposed"|"latest_aucomposed"|"early_assetid"|"latest_assetid"|"atlashubuid"
"cho_byil_1922_0003_000_0000"|"34"|"34"|"International Law. A Treatise. By L. Oppenheim. Third Edition, by Ronald F. Roxburgh. Vol. II. War and Neutrality. 8vo. pp. XIV+671. 1921. London: Longmans, Green Co.(36s. net.)"|"Le Droit pénal international et sa mise en æuvre en temps de paix et en temps de guerre, par Maurice Travers. Tomes II. and III. 1921. Paris: Libr. de la Soc. du Recueil Sirey. 8vo. pp. 683 and 552"|"E. A. Whittuck"|"Ernest J. Schuster"|"PEYUMR443714496"|"PEYUMR443714496"|""
"cho_byil_1922_0003_000_0000"|"35"|"35"|"The Law of Naval Warfare. By J. A. Hall. 2nd Ed. 1921. London: Chap-man & Hall. pp. VIII+398.(30s. net.)"|"International Law. A Treatise. By L. Oppenheim. Third Edition, by Ronald F. Roxburgh. Vol. II. War and Neutrality. 8vo. pp. XIV+671. 1921. London: Longmans, Green  Co.(36s. net.)"|""|"E. A. Whittuck"|"IJKKYQ851324541"|"IJKKYQ851324541"|""
"cho_byil_1922_0003_000_0000"|"36"|"36"|"Book Reveiw: Intervention in International Law. By Ellery C. Stowell. 1921. Washington: John Byrne & Co. 8vo. pp. 558"|"The Law of Naval Warfare. By J. A. Hall. 2nd Ed. 1921. London: Chap-man & Hall. pp. VIII+398.(30s. net.)"|"Percy H. Winfield"|""|"GTSSSU544678416"|"GTSSSU544678416"|""
"cho_byil_1922_0003_000_0000"|"37"|"37"|"A Manual of International Law for the use of Naval Officers. By C. H. Stockton. Second Revised Edition. 1921. Naval Institute, Annapolis, Md. pp. 355"|"Book Reveiw: Intervention in International Law. By Ellery C. Stowell. 1921. Washington: John Byrne & Co. 8vo. pp. 558"|"A. Pearce Higgins"|"Percy H. Winfield"|"PZDEEK471810723"|"PZDEEK471810723"|""
"cho_byil_1922_0003_000_0000"|"38"|"38"|"The  Great War and International Law. By Elihu Root. Presidential Address at the Fifteenth Annual Meeting of the American Society of International Law, April 27th, 1921. 1921. Washington: American Peace Society. pp. 20."|"A Manual of International Law for the use of Naval Officers. By C. H. Stockton. Second Revised Edition. 1921. Naval Institute, Annapolis, Md. pp. 355"|"W. R. Bisschop"|"A. Pearce Higgins"|"LRSILA797125079"|"LRSILA797125079"|""
"cho_byil_1922_0003_000_0000"|"39"|"39"|"The Development of Modern Diplomacy. By James Brown Scott. 1921. Washington: American Peace Society"|"The  Great War and International Law. By Elihu Root. Presidential Address at the Fifteenth Annual Meeting of the American Society of International Law, April 27th, 1921. 1921. Washington: American Peace Society. pp. 20."|"Wyndham A. Bewes"|"W. R. Bisschop"|"MHKLED128144510"|"KTLITR909360442"|""
"cho_byil_1922_0003_000_0000"|"40"|"40"|"Diplomacy Old and New. By George Young (Swarthmore International Hand-books). 1921. The Swarthmore Press. pp. 105.(2s. 6d. net.)"|"The Development of Modern Diplomacy. By James Brown Scott. 1921. Washington: American Peace Society"|"Wyndham A. Bewes"|"Wyndham A. Bewes"|"HYHTRG367424981"|"MHKLED128144510"|""
"cho_byil_1922_0003_000_0000"|"41"|"41"|"Bibliography"|"Diplomacy Old and New. By George Young (Swarthmore International Hand-books). 1921. The Swarthmore Press. pp. 105.(2s. 6d. net.)"|""|"Wyndham A. Bewes"|"EHCHZV923200113"|"HYHTRG367424981"|""
"cho_byil_1923_0004_000_0000"|"30"|"30"|"Histoire des grands principes du droit des gens depuis l'antiquite jusqu'á la veille de la grande guerre"|"Reviews of Books"|"A. Pearce Higgins"|""|"FVQMKG506322323"|"FVQMKG506322323"|""
"cho_byil_1923_0004_000_0000"|"31"|"31"|"The Control of American Foreign Relations"|"Histoire des grands principes du droit des gens depuis l'antiquite jusqu'á la veille de la grande guerre"|"Frederick Pollock"|"A. Pearce Higgins"|"JKGPYY359103409"|"JKGPYY359103409"|""
"cho_byil_1923_0004_000_0000"|"32"|"32"|"A Guide to Diplomatic Practice"|"The Control of American Foreign Relations"|"Cecil J. B. Hurst"|"Frederick Pollock"|"ADDYJC610754620"|"ADDYJC610754620"|""
"cho_byil_1923_0004_000_0000"|"33"|"33"|"A Digest of the Law of England with reference to the Conflict of Laws"|"A Guide to Diplomatic Practice"|"G. C. Cheshire"|"Cecil J. B. Hurst"|"MMNEZY921962599"|"MMNEZY921962599"|""
"cho_byil_1923_0004_000_0000"|"34"|"34"|"A Treatise on Private International Law with principal reference to its Practice in England"|"A Digest of the Law of England with reference to the Conflict of Laws"|"H. S. Q. Henriques"|"G. C. Cheshire"|"MTNPQA410206436"|"MTNPQA410206436"|""
"cho_byil_1923_0004_000_0000"|"35"|"35"|"The Development of International Law After the World War"|"A Treatise on Private International Law with principal reference to its Practice in England"|"C. M. Picciotto"|"H. S. Q. Henriques"|"AICYCS506672915"|"AICYCS506672915"|""
"cho_byil_1923_0004_000_0000"|"36"|"36"|"Völkerrecht"|"The Development of International Law After the World War"|"E. A. Whittuck"|"C. M. Picciotto"|"VICSMF353035216"|"VICSMF353035216"|""
"cho_byil_1923_0004_000_0000"|"37"|"37"|"Histoire des Violations du Traite de Paix"|"Völkerrecht"|"Phillimore"|"E. A. Whittuck"|"GVCOSW406240066"|"GVCOSW406240066"|""
"cho_byil_1923_0004_000_0000"|"38"|"38"|"Die Friedensschlüsse 1918-1921"|"Histoire des Violations du Traite de Paix"|""|"Phillimore"|"ORFXOU369502754"|"ORFXOU369502754"|""
"cho_byil_1923_0004_000_0000"|"39"|"39"|"War and Treaty Legislation, 1914-22"|"Die Friedensschlüsse 1918-1921"|"C. M. Picciotto"|""|"NMEUKB804584124"|"NMEUKB804584124"|""
"cho_byil_1923_0004_000_0000"|"40"|"40"|"A Monograph on Plebiscites: With a Collection of Official Documents"|"War and Treaty Legislation, 1914-22"|""|"C. M. Picciotto"|"VUXSWR897407108"|"VUXSWR897407108"|""
"cho_byil_1923_0004_000_0000"|"42"|"42"|"Grotius Annuarie International pour les Annees 1921-1922 et pour I'Annee 1923"|"A History of European Diplomacy, 1815-1914"|"C. M. Picciotto"|""|"HCUQGW008042336"|"HCUQGW008042336"|""
"cho_byil_1923_0004_000_0000"|"43"|"43"|"L'Afrique et la Paix de Versailles"|"Grotius Annuarie International pour les Annees 1921-1922 et pour I'Annee 1923"|"W. R. Bisschop"|"C. M. Picciotto"|"NNEBZD465199446"|"NNEBZD465199446"|""
"cho_byil_1923_0004_000_0000"|"44"|"44"|"Bibliography"|"L'Afrique et la Paix de Versailles"|""|"W. R. Bisschop"|"BCZOPX696134062"|"JOBVUQ106231867"|""
"cho_byil_1925_0006_000_0000"|"30"|"30"|"Hall's International Law"|"Reviews of Books"|"P. J. Noel Baker"|""|"MJHDTU704108654"|"MJHDTU704108654"|""
"cho_byil_1925_0006_000_0000"|"31"|"31"|"Air Power and War Rights"|"Hall's International Law"|"G. G. P."|"P. J. Noel Baker"|"SAAJWC340039497"|"SAAJWC340039497"|""
"cho_byil_1925_0006_000_0000"|"32"|"32"|"The Geneva Protocol"|"Air Power and War Rights"|"J. R. M. B."|"G. G. P."|"AQYJFV671536905"|"AQYJFV671536905"|""
"cho_byil_1925_0006_000_0000"|"33"|"33"|"International Law"|"The Geneva Protocol"|"C."|"J. R. M. B."|"RUMPGF757799364"|"RUMPGF757799364"|""
"cho_byil_1925_0006_000_0000"|"34"|"34"|"Wörterbuch des Völkerrechts und der Diplomatie, begonnen von Prof. Dr. Julius Hatschek, fortgesetzt und herausgegeben von Dr. Karl Strupp"|"International Law"|""|"C."|"GCYQAU212558787"|"GCYQAU212558787"|""
"cho_byil_1925_0006_000_0000"|"35"|"35"|"The Conduct of Foreign Relations under Modern Democratic Conditions"|"Wörterbuch des Völkerrechts und der Diplomatie, begonnen von Prof. Dr. Julius Hatschek, fortgesetzt und herausgegeben von Dr. Karl Strupp"|"C."|""|"RTUARF054431842"|"RTUARF054431842"|""
"cho_byil_1925_0006_000_0000"|"36"|"36"|"La Théorie générale des Mandats internationaux"|"The Conduct of Foreign Relations under Modern Democratic Conditions"|"J. Stoyanovsky"|"C."|"KDVJTI851532607"|"DXDSCI245975410"|""
"cho_byil_1925_0006_000_0000"|"37"|"37"|"Immunity of State Ships"|"La Théorie générale des Mandats internationaux"|""|"J. Stoyanovsky / P. J. Noel Baker"|"MZOCIC859483576"|"KDVJTI851532607"|""
"cho_byil_1926_0007_000_0000"|"17"|"17"|"Obituary"|"George Grenville Phillimore"|"Phillimore"|""|"HBICNS321491405"|"HBICNS321491405"|""
"cho_byil_1926_0007_000_0000"|"30"|"30"|"Cases in Vice-Admiralty and Admiralty"|"Traite de Droit International Public"|"C."|"A. Pearce Higgins / A. P. H."|"WNUXDX746320155"|"WNUXDX746320155"|""
"cho_byil_1926_0007_000_0000"|"31"|"31"|"Recent Developments in International Law"|"Cases in Vice-Admiralty and Admiralty"|"C."|"C. / J. L. B."|"KSRCAC807284266"|"KSRCAC807284266"|""
"cho_byil_1926_0007_000_0000"|"32"|"32"|"Folkeretten i Fredstid og Krigstid af Axel Muller"|"Recent Developments in International Law"|"D. Nyholm"|"C."|"CLBXVM011169903"|"CLBXVM011169903"|""
"cho_byil_1926_0007_000_0000"|"33"|"33"|"The Permanent Court of International Justice, Its Constitution, Procedure and Work"|"Folkeretten i Fredstid og Krigstid af Axel Muller"|"P. J. N. B."|"D. Nyholm"|"WPZOFJ373578477"|"WPZOFJ373578477"|""
"cho_byil_1926_0007_000_0000"|"34"|"34"|"Book Reveiw: Le Droit des Prises de la Grande Guerre"|"The Permanent Court of International Justice, Its Constitution, Procedure and Work"|"A. Pearce Higgins"|"P. J. N. B."|"COEBOI027489722"|"COEBOI027489722"|""
"cho_byil_1926_0007_000_0000"|"35"|"35"|"Theorie und Praxis des Völkerrechts"|"Book Reveiw: Le Droit des Prises de la Grande Guerre"|"A. P. H."|"A. Pearce Higgins"|"XZENMT000941247"|"XZENMT000941247"|""
"cho_byil_1926_0007_000_0000"|"36"|"36"|"Sovereign States and Suits before Arbitral Tribunals and Courts of Justice"|"Theorie und Praxis des Völkerrechts"|"W."|"A. P. H."|"QVIGME680230371"|"QVIGME680230371"|""
"cho_byil_1926_0007_000_0000"|"37"|"37"|"Westlake's Private International Law"|"Sovereign States and Suits before Arbitral Tribunals and Courts of Justice"|"E."|"W."|"JGIJMX146655556"|"JGIJMX146655556"|""
"cho_byil_1926_0007_000_0000"|"38"|"38"|"La Querela Pacis of Erasmus"|"Westlake's Private International Law"|"S."|"E."|"DFCPLW637865050"|"DFCPLW637865050"|""
"cho_byil_1926_0007_000_0000"|"39"|"39"|"Das Werk von Locarno: eine völkerrechtlich-politische Studie"|"La Querela Pacis of Erasmus"|"J. R. M. B."|"S."|"HSYGJZ014501981"|"HSYGJZ014501981"|""
"cho_byil_1926_0007_000_0000"|"40"|"40"|"The Permanent Court of International Justice and the Question of American Participation"|"Das Werk von Locarno: eine völkerrechtlich-politische Studie"|"A. P. F."|"J. R. M. B."|"WVNFLU824271464"|"WHPDVV007860978"|""
"cho_byil_1926_0007_000_0000"|"41"|"41"|"The Swiss Civil Code"|"The Permanent Court of International Justice and the Question of American Participation"|"M. D. Chalmers"|"A. P. F."|"OJQWEO998886623"|"WVNFLU824271464"|""
"cho_byil_1926_0007_000_0000"|"42"|"42"|"Bibliography"|"The Swiss Civil Code"|""|"M. D. Chalmers"|"NXPBZA937345288"|"OJQWEO998886623"|""
"cho_byil_1928_0009_000_0000"|"32"|"32"|"Prize Law during the World War"|"Die Befriedung Europas"|"A. Pearce Higgins"|""|"RXDKTQ882554639"|"RXDKTQ882554639"|""
"cho_byil_1928_0009_000_0000"|"33"|"33"|"American Foreign Policies"|"Prize Law during the World War"|"C."|"A. Pearce Higgins"|"CHRFLB761900517"|"CHRFLB761900517"|""
"cho_byil_1928_0009_000_0000"|"34"|"34"|"The Struggle for the Falkland Islands: A Study in Legal and Diplomatic History"|"American Foreign Policies"|"C. D."|"C."|"PVFYWU248748199"|"PVFYWU248748199"|""
"cho_byil_1928_0009_000_0000"|"35"|"35"|"The Law of Territorial Waters and Maritime Jurisdiction"|"The Struggle for the Falkland Islands: A Study in Legal and Diplomatic History"|"C."|"C. D."|"RCMSRS165404087"|"RCMSRS165404087"|""
"cho_byil_1928_0009_000_0000"|"36"|"36"|"Die Fortbildung der internationalen Schiedsgerichtsbarkeit seit dem Weltkrieg, besonders durch den Locarno-Pakt"|"The Law of Territorial Waters and Maritime Jurisdiction"|"H. L."|"C."|"QMBNOR275917429"|"QMBNOR275917429"|""
"cho_byil_1928_0009_000_0000"|"37"|"37"|"Die  avoirs en numéraire(cash assets) im Vertrage von Versailles"|"Die Fortbildung der internationalen Schiedsgerichtsbarkeit seit dem Weltkrieg, besonders durch den Locarno-Pakt"|"J. F. W."|"H. L."|"GSXJNU674637095"|"GSXJNU674637095"|""
"cho_byil_1928_0009_000_0000"|"38"|"38"|"Quakers and Peace"|"Die  avoirs en numéraire(cash assets) im Vertrage von Versailles"|"H. Wilson Harris"|"J. F. W."|"BRBBIR019588887"|"BRBBIR019588887"|""
"cho_byil_1928_0009_000_0000"|"39"|"39"|"Die Völkerrechtliche Option"|"Quakers and Peace"|"H. L."|"H. Wilson Harris"|"FAOVHJ884216569"|"FAOVHJ884216569"|""
"cho_byil_1928_0009_000_0000"|"40"|"40"|"Private Law Sources and Analogies of International Law"|"Die Völkerrechtliche Option"|"E."|"H. L."|"MJJMAN223036460"|"MJJMAN223036460"|""
"cho_byil_1928_0009_000_0000"|"41"|"41"|"Essai sur le Désarmement et le Pacte de la Société des Nations"|"Private Law Sources and Analogies of International Law"|"P. J. Noel Baker"|"E."|"PJMNSX974460025"|"PJMNSX974460025"|""
"cho_byil_1928_0009_000_0000"|"42"|"42"|"Principes de Droit Administratif du Japan"|"Essai sur le Désarmement et le Pacte de la Société des Nations"|"R. L. Hurst"|"P. J. Noel Baker"|"PDAGGF980304922"|"PDAGGF980304922"|""
"cho_byil_1928_0009_000_0000"|"43"|"43"|"Théorie de la Société des Nations"|"Principes de Droit Administratif du Japan"|"H. Lauterpacht"|"R. L. Hurst"|"HRBUST905380368"|"HRBUST905380368"|""
"cho_byil_1928_0009_000_0000"|"44"|"44"|"Les Mandats internationaux"|"Théorie de la Société des Nations"|"A. P. H."|"H. Lauterpacht"|"XVJCPT665982129"|"XVJCPT665982129"|""
"cho_byil_1928_0009_000_0000"|"45"|"45"|"Die Verbindlichkeit der Beschlüsse des Völkerbundes"|"Les Mandats internationaux"|"J. F. W."|"A. P. H."|"LLGDBX347874310"|"LLGDBX347874310"|""
"cho_byil_1928_0009_000_0000"|"46"|"46"|"Die völkerrechtliche Haftung des Staates, insbesondere bei Handlungen Privater. By Karl Strupp"|"Die Verbindlichkeit der Beschlüsse des Völkerbundes"|"H. Lauterpacht"|"J. F. W."|"CFLVZQ019303290"|"CFLVZQ019303290"|""
"cho_byil_1928_0009_000_0000"|"47"|"47"|"Die Abänderung völkerrechtsgemassen Landesrechts, grundsätzliche Untersuchungen zum Englischen, Amerikanischen, Deutschen und Oesterreichischen Recht"|"Die völkerrechtliche Haftung des Staates, insbesondere bei Handlungen Privater. By Karl Strupp"|"H. L."|"H. Lauterpacht"|"DFMZRA415006847"|"DFMZRA415006847"|""
"cho_byil_1928_0009_000_0000"|"48"|"48"|"Die Volkerbundssatzung. Gemeinverständlich erläutert unter Berücksichtigung des Paktes von Locarno, des Berliner Vertrages mit Sowjet-Russland, usw"|"Die Abänderung völkerrechtsgemassen Landesrechts, grundsätzliche Untersuchungen zum Englischen, Amerikanischen, Deutschen und Oesterreichischen Recht"|"J. F. W."|"H. L."|"YIKDMR446623381"|"YIKDMR446623381"|""
"cho_byil_1928_0009_000_0000"|"49"|"49"|"The Interpretation of Treaties"|"Die Volkerbundssatzung. Gemeinverständlich erläutert unter Berücksichtigung des Paktes von Locarno, des Berliner Vertrages mit Sowjet-Russland, usw"|"W."|"J. F. W."|"GNXSTW553212838"|"GNXSTW553212838"|""
"cho_byil_1928_0009_000_0000"|"50"|"50"|"Les Gouvernements de fait devant le juge"|"The Interpretation of Treaties"|"C."|"W."|"ELNLJX705946803"|"ELNLJX705946803"|""
"cho_byil_1928_0009_000_0000"|"51"|"51"|"Bibliography"|"Les Gouvernements de fait devant le juge"|""|"C."|"ZMVYDR055290745"|"WSEAVJ734912604"|""
"cho_byil_1929_0010_000_0000"|"36"|"36"|"Recueil des Cours de l'Académie de Droit International: 1927"|"Reviews of Books"|"J. L. B."|""|"URAQNE186601753"|"URAQNE186601753"|""
"cho_byil_1929_0010_000_0000"|"37"|"37"|"Répertoire des traités et des engagements internationaux concernant les Pays-Bas (1845-1900)"|"Recueil des Cours de l'Académie de Droit International: 1927"|"S. Gaselee"|"J. L. B."|"ZMXPTL117138689"|"ZMXPTL117138689"|""
"cho_byil_1929_0010_000_0000"|"38"|"38"|"The Law of Nations"|"Répertoire des traités et des engagements internationaux concernant les Pays-Bas (1845-1900)"|"W."|"S. Gaselee"|"RWQNGT572408025"|"RWQNGT572408025"|""
"cho_byil_1929_0010_000_0000"|"39"|"39"|"The Development of International Law"|"The Law of Nations"|"E."|"W."|"UOOGHR249570390"|"UOOGHR249570390"|""
"cho_byil_1929_0010_000_0000"|"40"|"40"|"Canada and World Politics. A Study of the Constitutional and International Relations of the British Empire"|"The Development of International Law"|""|"E."|"FTOTFB583664458"|"FTOTFB583664458"|""
"cho_byil_1929_0010_000_0000"|"41"|"41"|"Political Handbook of the World, Parliament, Parties and Press"|"Canada and World Politics. A Study of the Constitutional and International Relations of the British Empire"|"A. P. H."|""|"CXAMOJ367683355"|"CXAMOJ367683355"|""
"cho_byil_1929_0010_000_0000"|"42"|"42"|"The Hungarian-Rumanian Land Dispute"|"Political Handbook of the World, Parliament, Parties and Press"|"C."|"A. P. H."|"IVCUHB317208917"|"IVCUHB317208917"|""
"cho_byil_1929_0010_000_0000"|"43"|"43"|"The Responsibility of States in International Law"|"The Hungarian-Rumanian Land Dispute"|"H. A. S."|"C."|"VKITGW346719859"|"VKITGW346719859"|""
"cho_byil_1929_0010_000_0000"|"44"|"44"|"Société des Nations et Problème de la Paix"|"The Responsibility of States in International Law"|"P. J. Noel Baker"|"H. A. S."|"DDMTAX372026937"|"DDMTAX372026937"|""
"cho_byil_1929_0010_000_0000"|"45"|"45"|"Transactions of the Grotius Society, Vol. XIII"|"Société des Nations et Problème de la Paix"|"C."|"P. J. Noel Baker"|"UJRRIH125369520"|"UJRRIH125369520"|""
"cho_byil_1929_0010_000_0000"|"46"|"46"|"Studies in International Law and Relations"|"Transactions of the Grotius Society, Vol. XIII"|"C."|"C."|"NEDCJW545697098"|"NEDCJW545697098"|""
"cho_byil_1929_0010_000_0000"|"47"|"47"|"The Supreme Court of the United States"|"Studies in International Law and Relations"|"C."|"C."|"GCNSIE613104095"|"GCNSIE613104095"|""
"cho_byil_1929_0010_000_0000"|"48"|"48"|"International Law"|"The Supreme Court of the United States"|"A. W. B."|"C."|"ZQLAKP003362477"|"ZQLAKP003362477"|""
"cho_byil_1929_0010_000_0000"|"49"|"49"|"Jurisdiction in the Marginal Seas with Special Reference to Smuggling, by William E. Masterson, M. A., LL. D."|"International Law"|""|"A. W. B."|"VIQPPY489687784"|"VIQPPY489687784"|""
"cho_byil_1929_0010_000_0000"|"50"|"50"|"Le Gouverneur dans les Dominions britanniques. By Henri Couve de Murville Docteur en Driot. Paris: Rousseau & Cie. 1929. 205 pp"|"Jurisdiction in the Marginal Seas with Special Reference to Smuggling, by William E. Masterson, M. A., LL. D."|"H. C. W. T."|""|"CJMAZV641885856"|"CJMAZV641885856"|""
"cho_byil_1929_0010_000_0000"|"51"|"51"|"Handbuch des Abrüstungsproblems, heraugegeben im Auftrafe des deutschen Studienausschusses für Fragen der Friedenssicherung"|"Le Gouverneur dans les Dominions britanniques. By Henri Couve de Murville Docteur en Driot. Paris: Rousseau & Cie. 1929. 205 pp"|"Temple Grey"|"H. C. W. T."|"WKPFLN468111884"|"WKPFLN468111884"|""
"cho_byil_1929_0010_000_0000"|"52"|"52"|"Le Role du Conseil de la Société des Nations dans le Réglement pacifique des differends internationaux"|"Handbuch des Abrüstungsproblems, heraugegeben im Auftrafe des deutschen Studienausschusses für Fragen der Friedenssicherung"|"Philip J. Noel Baker"|"Temple Grey"|"BIJMIP114058299"|"BIJMIP114058299"|""
"cho_byil_1929_0010_000_0000"|"53"|"53"|"Classics of International Law. Pufendorf. De Officio hominis et civis juxta legem naturalem libri duo."|"Le Role du Conseil de la Société des Nations dans le Réglement pacifique des differends internationaux"|"C."|"Philip J. Noel Baker"|"DHNDFL296901059"|"DHNDFL296901059"|""
"cho_byil_1929_0010_000_0000"|"54"|"54"|"Rivalry of the United States and Great Britain over Latin-America, 1808-1830"|"Classics of International Law. Pufendorf. De Officio hominis et civis juxta legem naturalem libri duo."|"R. M. M."|"C."|"OGDVOQ630343117"|"OGDVOQ630343117"|""
"cho_byil_1929_0010_000_0000"|"55"|"55"|"The Doctrine of Necessity in International Law"|"Rivalry of the United States and Great Britain over Latin-America, 1808-1830"|"H. A. S."|"R. M. M."|"ZZPPXD333569915"|"ZZPPXD333569915"|""
"cho_byil_1929_0010_000_0000"|"56"|"56"|"Aerial Bombardment and the International Regulation of Warfare"|"The Doctrine of Necessity in International Law"|"J. M. Spaight"|"H. A. S."|"QPDNZW772202608"|"QPDNZW772202608"|""
"cho_byil_1929_0010_000_0000"|"57"|"57"|"Siam Treaties with Foreign Powers, 1920-1927"|"Aerial Bombardment and the International Regulation of Warfare"|""|"J. M. Spaight"|"HMHYSP871191264"|"HMHYSP871191264"|""
"cho_byil_1929_0010_000_0000"|"58"|"58"|"Dr. Walter Schätzel, Die elsass-lothringische Staatsangehörigkeitsregelung und das Völkerrecht"|"Siam Treaties with Foreign Powers, 1920-1927"|"H. L."|""|"QQZRAC188108219"|"QQZRAC188108219"|""
"cho_byil_1929_0010_000_0000"|"59"|"59"|"Les Immunites diplomatiques des représentants des états Membres et des agents de la Société des Nations"|"Dr. Walter Schätzel, Die elsass-lothringische Staatsangehörigkeitsregelung und das Völkerrecht"|"C."|"H. L."|"XIWBXV396500604"|"XIWBXV396500604"|""
"cho_byil_1929_0010_000_0000"|"60"|"60"|"The Development of European Law"|"Les Immunites diplomatiques des représentants des états Membres et des agents de la Société des Nations"|"H. C. G."|"C."|"SDAGQK289603890"|"SDAGQK289603890"|""
"cho_byil_1929_0010_000_0000"|"61"|"61"|"L' Entr'aide Répressive Internationale et la loi francaise du 10 Mars, 1927"|"The Development of European Law"|"H. R."|"H. C. G."|"JMNELG472195522"|"JMNELG472195522"|""
"cho_byil_1929_0010_000_0000"|"62"|"62"|"Le Continent Américain et le Droit International"|"L' Entr'aide Répressive Internationale et la loi francaise du 10 Mars, 1927"|"H. A. S."|"H. R."|"NICJUW653320690"|"NICJUW653320690"|""
"cho_byil_1929_0010_000_0000"|"63"|"63"|"Bibliography"|"Le Continent Américain et le Droit International"|""|"H. A. S."|"TTOXEY588140391"|"TTOXEY588140391"|""
"cho_byil_1931_0012_000_0000"|"30"|"30"|"Académie de Droit International: Recueil des Cours, 1929."|"Reviews of Books"|"J. L. B."|""|"AAULGK262596895"|"LNZNFN564527248"|""
"cho_byil_1931_0012_000_0000"|"31"|"31"|"The Law of the Air"|"Académie de Droit International: Recueil des Cours, 1929."|"J. F. W."|"J. L. B."|"ITNACC430596459"|"AAULGK262596895"|""
"cho_byil_1931_0012_000_0000"|"32"|"32"|"Mandates"|"The Law of the Air"|"H. A. S."|"J. F. W. / H. L. / C. / A. P. H. / H. A. S. / G. R. W. / A. P. H. / J. L. B."|"IVVWJG000570610"|"ITNACC430596459"|""
