PSMID|Fulltitle|Article Sequence|Title|CHO Pub Type|Aucomposed|Prefix|First|Middle|Last|Suffix|Atlas Hub UID|PNA Notes
cho_wtxx_1969_0025_000_0000|The World Today|76|Notes of the month: Recent developments in Kashmir|Journals|A. G. Noorani||A.|G.|Noorani||22374647|
cho_wtxx_1975_0031_000_0000|The World Today|42|Search for new relationship in the Indian subcontinent|Journals|A. G. Noorani||A.|G.|Noorani||22374647|
cho_iaxx_1962_0038_000_0000|International Affairs|24|Book Review: Europe|Journals|A. H. H.||A.|H.|H.|||can't ID
cho_wtxx_1949_0005_000_0000|The World Today|92|Sweden Today|Journals|A. H. H.||A.|H.|H.|||can't ID
cho_wtxx_1957_0013_000_0000|The World Today|22|Finland Today|Journals|A. H. H.||A.|H.|H.|||can't ID
cho_wtxx_1957_0013_000_0000|The World Today|65|The Danish Scene, Summer 1957|Journals|A. H. H.||A.|H.|H.|||can't ID
cho_wtxx_1959_0015_000_0000|The World Today|18|Sweden's Mineral Wealth|Journals|A. H. H.||A.|H.|H.|||can't ID
cho_iaxx_1964_0040_000_0000|International Affairs|19|Book Review: Politics, Economics and Social|Journals|A. H. Hanson||A.|H.|Hanson||14570257|
cho_iaxx_1964_0040_000_0000|International Affairs|110|Book Review: Politics, Economics and Social|Journals|A. H. Hanson||A.|H.|Hanson||14570257|
cho_book_1979_brownlie_000_0000|African Boundaries|113|Rwanda-Uganda|Books|A. H. Hardinge||A.|H.|Hardinge||22309032|
cho_iaxx_1962_0038_000_0000|International Affairs|113|Book Review: Europe|Journals|A. H. Hicks||A.|H.|Hicks|||can't ID
cho_binx_1940_0017_000_0000|The Bulletin of International News|34|The Military Strength of the United States|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1940_0017_000_0000|The Bulletin of International News|53|The Economic Prospects of Latin America|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1940_0017_000_0000|The Bulletin of International News|62|The Economic Prospects of Latin America|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1940_0017_000_0000|The Bulletin of International News|73|Europe's Liquid Fuel Supplies|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1940_0017_000_0000|The Bulletin of International News|92|The Invasion of Greece|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1940_0017_000_0000|The Bulletin of International News|100|The Delhi Conference|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1940_0017_000_0000|The Bulletin of International News|119|German Exploitation of Occupied Countries. - I|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1940_0017_000_0000|The Bulletin of International News|127|German Exploitation of Occupied Countries. - II|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|35|Russian Income and Defence Expenditure|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|46|The Shipping Problem and American Aid|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|70|Economic Factors Connected with the Collapse of France|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|79|American Aircraft Production|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|91|Italy's Economic Weakness|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|100|Prices in Some German-Occupied Countries|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|108|The German New Order Reappears|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_binx_1941_0018_002_0000|Bulletin of International News|117|The War Industries of the Belligerents|Journals|A. J. B.||A.|J.|B.|||can't ID, probably A.J. Balfour, British prime Minister, 1848-1930; UID 13008216
cho_book_1979_brownlie_000_0000|African Boundaries|63|Liberia-Sierra Leone|Books|A. J. Balfour||A.|J.|Balfour||13008216|
cho_book_1979_brownlie_000_0000|African Boundaries|63|Liberia-Sierra Leone|Books|A. J. Balfour||A.|J.|Balfour||13008216|
cho_wtxx_1957_0013_000_0000|The World Today|30|Greenland Today|Journals|A. J. F.||A.|J.|F.|||can't ID
cho_iaxx_1964_0040_000_0000|International Affairs|113|Book Review: Middle East|Journals|A. K. S. Lambton||A.|K. S.|Lambton||22221895|
cho_wtxx_1961_0017_000_0000|The World Today|17|Persia Today|Journals|A. K. S. Lambton||A.|K. S.|Lambton||22221895|
cho_wtxx_1962_0018_000_0000|The World Today|29|Australia, Britain, and the Common Market|Journals|A. L. Burns||A.|L.|Burns|||can't ID
cho_wtxx_1962_0018_000_0000|The World Today|51|Ruanda-Urundi on the Threshold of Independence|Journals|A. L. Latham-Koenig||A.|L.|Latham-Koenig|||can't ID
cho_book_1979_brownlie_000_0000|African Boundaries|91|Congo (Brazzaville)-Za?re|Books|A. Leghait||A.||Leghait|||can't ID
cho_book_1979_brownlie_000_0000|African Boundaries|58|Guinea-Sierra Leone|Books|A. Lescure||A.||Lescure|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|18|Book Review: International Organization|Journals|A. Loveday||A.||Loveday||22213174|
cho_iaxx_1962_0038_000_0000|International Affairs|53|Book Review: Biography|Journals|A. Loveday||A.||Loveday||22213174|
cho_book_1979_brownlie_000_0000|African Boundaries|129|Mozambique-South Africa|Books|A. M. De Bettencourt Rodrigues||A.|M.|De Bettencourt Rodrigues||22309035|
cho_book_1979_brownlie_000_0000|African Boundaries|130|Mozambique-Swaziland|Books|A. M. De Bettencourt Rodrigues||A.|M.|De Bettencourt Rodrigues||22309035|
cho_iaxx_1962_0038_000_0000|International Affairs|22|Book Review: Law|Journals|A. McDougall||A.||McDougall|||can't ID, possibly McDougall, Archibald, b. 1903; British lawyer and law teacher at Victoria University of Manchester
cho_iaxx_1962_0038_000_0000|International Affairs|59|Book Review: Africa|Journals|A. N. Allott||A.|N.|Allott||22375481|
cho_iaxx_1964_0040_000_0000|International Affairs|114|Book Review: Africa|Journals|A. N. Allott||A.|N.|Allott||22375481|
cho_wtxx_1949_0005_000_0000|The World Today|9|Nationalism in Iraq|Journals|A. N. O.||A.|N.|O.|||can't ID
cho_wtxx_1954_0010_000_0000|The World Today|16|Eastern Germany since the Risings of June 1953|Journals|A. N. P.||A.|N.|P.|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|23|Book Review: Economic and Social|Journals|A. Nove||A.||Nove||14782003|
cho_iaxx_1964_0040_000_0000|International Affairs|21|Book Review: U.S.S.R. and Soviet Bloc|Journals|A. Nove||A.||Nove||14782003|
cho_iaxx_1964_0040_000_0000|International Affairs|112|Book Review: U.S.S.R. and Soviet Bloc|Journals|A. Nove||A.||Nove||14782003|
cho_iaxx_1962_0038_000_0000|International Affairs|124|Book Review: U.S.S.R.|Journals|A. R.||A.||R.|||can't ID
cho_wtxx_1957_0013_000_0000|The World Today|7|The Hungarian Revolution|Journals|A. R.||A.||R.|||can't ID
cho_wtxx_1957_0013_000_0000|The World Today|75|The Aftermath of the Hungarian Revolution|Journals|A. R.||A.||R.|||can't ID
cho_wtxx_1975_0031_000_0000|The World Today|27|Notes of the month: Wehrstruktur Comes Full Circle|Journals|A. S. B.||A.|S.|B.|||can't ID
cho_wtxx_1965_0021_000_0000|The World Today|76|Note of the month: India, Pakistan, and Kashmir|Journals|A. S. B. Olver||A.|S. B.|Olver||22350084|
cho_wtxx_1954_0010_000_0000|The World Today|88|Military and Industrial Aspects of Atomic Energy|Journals|A. V. C.||A.|V.|C.|||can't ID
cho_book_1979_brownlie_000_0000|African Boundaries|93|Rwanda-Za?re|Books|A. Van Maldeghem||A.||Van Maldeghem||22309039|
cho_iaxx_1962_0038_000_0000|International Affairs|50|Book Review: War and Strategy|Journals|A. Verrier||A.||Verrier||22351103|
cho_book_1979_brownlie_000_0000|African Boundaries|96|Uganda-Za?re|Books|A. Von Maldeghem||A.||Von Maldeghem||22309039|
cho_wtxx_1949_0005_000_0000|The World Today|36|Norway and the Atlantic Pact|Journals|A. W.||A.||W.|||can't ID
cho_wtxx_1959_0015_000_0000|The World Today|69|The U.S.S.R. and her Northern Neighbours|Journals|A. Wiseman||A.||Wiseman|||no bio info found
cho_wtxx_1959_0015_000_0000|The World Today|84|Sputniks and Sausages|Journals|A. Wiseman||A.||Wiseman|||no bio info found
cho_wtxx_1954_0010_000_0000|The World Today|25|The Dilemma of the Polish Economy|Journals|A. Z.||A.||Z.|||can't ID
cho_wtxx_1954_0010_000_0000|The World Today|33|The Dilemma of the Polish Economy - II|Journals|A. Z.||A.||Z.|||can't ID
cho_wtxx_1954_0010_000_0000|The World Today|41|The Dilemma of the Polish Economy - III|Journals|A. Z.||A.||Z.|||can't ID
cho_wtxx_1969_0025_000_0000|The World Today|68|Economic integration and preferential trade: The Caribbean experience|Journals|Aaron Segal||Aaron||Segal||22375493|
cho_book_1979_brownlie_000_0000|African Boundaries|82|Cameroun-Nigeria|Books|Abubakar Balewa||Abubakar||Balewa||13684576|
cho_wtxx_1969_0025_000_0000|The World Today|24|Poland's political crisis|Journals|Adam Bromke||Adam||Bromke||14434799|
cho_wtxx_1965_0021_000_0000|The World Today|50|Buddhism and politics in South Vietnam|Journals|Adam Roberts||Adam||Roberts||22293102|
cho_wtxx_1966_0022_000_0000|The World Today|39|The Buddhists, the war, and the Vietcong|Journals|Adam Roberts||Adam||Roberts||22293102|
cho_iaxx_1962_0038_000_0000|International Affairs|123|Book Review: South and South-East Asia|Journals|Adrian C. Mayer||Adrian|C.|Mayer||14777075|
cho_iaxx_1962_0038_000_0000|International Affairs|20|Book Review: Second World War and its Origins|Journals|Agnes H. Hicks||Agnes|H.|Hicks|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|56|Book Review: Europe|Journals|Agnes H. Hicks||Agnes|H.|Hicks|||can't ID
cho_book_1979_brownlie_000_0000|African Boundaries|104|Ethiopia-Somalia|Books|Aklilou||||Aklilou||22309043|
cho_iaxx_1964_0040_000_0000|International Affairs|15|Book Review: History|Journals|Alan Bullock||Alan||Bullock||14294860|
cho_iaxx_1964_0040_000_0000|International Affairs|76|Book Review: History|Journals|Alan Bullock||Alan||Bullock||14294860|
cho_iaxx_1962_0038_000_0000|International Affairs|18|Book Review: International Organization|Journals|Alan James||Alan||James||14594424|
cho_iaxx_1962_0038_000_0000|International Affairs|49|Book Review: International Organization|Journals|Alan James||Alan||James||14594424|
cho_iaxx_1964_0040_000_0000|International Affairs|47|Book Review: Law|Journals|Alan James||Alan||James||14594424|
cho_wtxx_1961_0017_000_0000|The World Today|61|The Soviet Troika Proposals|Journals|Alan James||Alan||James||14594424|
cho_wtxx_1962_0018_000_0000|The World Today|81|U. N. Action for Peace|Journals|Alan James||Alan||James||14594424|
cho_wtxx_1962_0018_000_0000|The World Today|86|U.N. Action for Peace|Journals|Alan James||Alan||James||14594424|
cho_iaxx_1962_0038_000_0000|International Affairs|19|Book Review: War and Strategy|Journals|Alastair Buchan||Alastair||Buchan||14455698|
cho_iaxx_1964_0040_000_0000|International Affairs|99|The Multilateral Force|Journals|Alastair Buchan||Alastair||Buchan||14455698|
cho_wtxx_1965_0021_000_0000|The World Today|42|The security of India|Journals|Alastair Buchan||Alastair||Buchan||14455698|
cho_wtxx_1965_0021_000_0000|The World Today|20|Zambia: Key point in Africa|Journals|Alastair Heron||Alastair||Heron||22375503|
cho_wtxx_1965_0021_000_0000|The World Today|17|South Africa's labour problems I. Trade unions in the doldrums|Journals|Alex Hepple||Alex||Hepple||14490266|
cho_wtxx_1969_0025_000_0000|The World Today|70|South Africa's Bureau for State Security|Journals|Alex Hepple||Alex||Hepple||14490266|
cho_iaxx_1962_0038_000_0000|International Affairs|84|Book Review: Law|Journals|Alexander Elkin||Alexander||Elkin|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|85|Book Review: Economic and Social|Journals|Alexander Elkin||Alexander||Elkin|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|88|Book Review: U.S.S.R.|Journals|Alexander Elkin||Alexander||Elkin|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|113|Book Review: Europe|Journals|Alexander Elkin||Alexander||Elkin|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|118|Book Review: Law|Journals|Alexander Elkin||Alexander||Elkin|||can't ID
cho_iaxx_1964_0040_000_0000|International Affairs|17|Book Review: Law|Journals|Alexander Elkin||Alexander||Elkin|||can't ID
cho_iaxx_1964_0040_000_0000|International Affairs|69|The Atomic Origins of the British Nuclear Deterrent|Journals|Alfred Goldberg||Alfred||Goldberg||16572294|
cho_iaxx_1964_0040_000_0000|International Affairs|98|The Military Origins of the British Nuclear Deterrent|Journals|Alfred Goldberg||Alfred||Goldberg||16572294|
cho_iaxx_1962_0038_000_0000|International Affairs|47|Book Review: Philosophy and Politics|Journals|Alfred Sherman||Alfred||Sherman||15045214|
cho_iaxx_1962_0038_000_0000|International Affairs|85|Book Review: Economic and Social|Journals|Alfred Sherman||Alfred||Sherman||15045214|
cho_iaxx_1962_0038_000_0000|International Affairs|119|Book Review: Middle East and Mediterranean|Journals|Alfred Sherman||Alfred||Sherman||15045214|
cho_iaxx_1964_0040_000_0000|International Affairs|28|Book Review: Latin America and Caribbean|Journals|Alfred Sherman||Alfred||Sherman||15045214|
cho_wtxx_1959_0015_000_0000|The World Today|70|Israel's Economic Problems|Journals|Alfred Sherman||Alfred||Sherman||15045214|
cho_wtxx_1961_0017_000_0000|The World Today|37|Israeli Socialism and the Multi-Party System|Journals|Alfred Sherman||Alfred||Sherman||15045214|
cho_wtxx_1962_0018_000_0000|The World Today|27|Climax in Algeria|Journals|Alfred Sherman||Alfred||Sherman||15045214|
cho_iaxx_1962_0038_000_0000|International Affairs|23|Book Review: Economic and Social|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1962_0038_000_0000|International Affairs|25|Book Review: U.S.S.R.|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1962_0038_000_0000|International Affairs|55|Book Review: Economic and Social|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1962_0038_000_0000|International Affairs|57|Book Review: U.S.S.R.|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1962_0038_000_0000|International Affairs|74|Soviet and Chinese Strategy for Economic Growth|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1964_0040_000_0000|International Affairs|21|Book Review: U.S.S.R. and Soviet Bloc|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1964_0040_000_0000|International Affairs|51|Book Review: U.S.S.R. and Soviet Bloc|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1964_0040_000_0000|International Affairs|82|Book Review: U.S.S.R. and Soviet Bloc|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1964_0040_000_0000|International Affairs|112|Book Review: U.S.S.R. and Soviet Bloc|Journals|Alfred Zauberman||Alfred||Zauberman||14916412|
cho_iaxx_1962_0038_000_0000|International Affairs|113|Book Review: Europe|Journals|Alison Outhwaite||Alison||Outhwaite||22221899|
cho_iaxx_1962_0038_000_0000|International Affairs|80|Book Review: History|Journals|Alison Smith||Alison||Smith|||can't ID
cho_wtxx_1965_0021_000_0000|The World Today|14|Notes of the month: The Bolivian coup d'?tat|Journals|Alistair Hennessy||Alistair||Hennessy||22293108|
cho_wtxx_1965_0021_000_0000|The World Today|49|Background to the Dominican coup|Journals|Alistair Hennessy||Alistair||Hennessy||22293108|
cho_iaxx_1962_0038_000_0000|International Affairs|79|Book Review: Philosophy and Politics|Journals|Allan G. B. Fisher||Allan|G. B.|Fisher||13605011|
cho_iaxx_1962_0038_000_0000|International Affairs|85|Book Review: Economic and Social|Journals|Allan G. B. Fisher||Allan|G. B.|Fisher||13605011|
cho_wtxx_1969_0025_000_0000|The World Today|60|What is at stake in Europe today|Journals|Altiero Spinelli||Altiero||Spinelli||13985172|
cho_iaxx_1962_0038_000_0000|International Affairs|111|Book Review: Biography and Autobiography|Journals|Ambrose Reeves||Ambrose||Reeves||14832254|
cho_book_1979_brownlie_000_0000|African Boundaries|37|Arab Republic of Egypt-Sudan|Books|Amery||||Amery||14333696|
cho_iaxx_1962_0038_000_0000|International Affairs|24|Book Review: Europe|Journals|Andrew Marshall||Andrew||Marshall||13031723|
cho_wtxx_1961_0017_000_0000|The World Today|21|Portugal: A Determined Empire|Journals|Andrew Marshall||Andrew||Marshall||13031723|
cho_wtxx_1961_0017_000_0000|The World Today|55|Brazil: The Reawakening of the Giant|Journals|Andrew Marshall||Andrew||Marshall||13031723|
cho_wtxx_1962_0018_000_0000|The World Today|79|Brazil: Democracy's Last Chance?|Journals|Andrew Marshall||Andrew||Marshall||13031723|
cho_iaxx_1964_0040_000_0000|International Affairs|82|Book Review: U.S.S.R. and Soviet Bloc|Journals|Andrew R?vai||Andrew||R?vai||22375512|
cho_iaxx_1964_0040_000_0000|International Affairs|38|Trade as a Tool of Development|Journals|Andrew Shonfield||Andrew||Shonfield||15078819|
cho_wtxx_1965_0021_000_0000|The World Today|84|Latin American integration: A new phase?|Journals|Andrew Shonfield||Andrew||Shonfield||15078819|
cho_iaxx_1962_0038_000_0000|International Affairs|26|Book Review: Middle East and Mediterranean|Journals|Ann K. S. Lambton||Ann|K. S.|Lambton||22221895|
cho_iaxx_1962_0038_000_0000|International Affairs|19|Book Review: War and Strategy|Journals|Anthony Courtney||Anthony||Courtney||22224709|
cho_book_1979_brownlie_000_0000|African Boundaries|104|Ethiopia-Somalia|Books|Anthony Eden||Anthony||Eden||13028787|
cho_iaxx_1964_0040_000_0000|International Affairs|18|Book Review: Military|Journals|Anthony Moncrieff||Anthony||Moncrieff||22347009|
cho_wtxx_1962_0018_000_0000|The World Today|43|The Present State of the Disarmament Debate|Journals|Anthony Verrier||Anthony||Verrier||22351103|
cho_wtxx_1961_0017_000_0000|The World Today|34|Albania: A Chinese Satellite in the Making?|Journals|Anton Logoreci||Anton||Logoreci||22375517|
cho_book_1979_brownlie_000_0000|African Boundaries|126|Malawi-Mozambique|Books|Antonio Affonso De Carvalho||Antonio|Affonso|De Carvalho|||no bio info found
cho_wtxx_1975_0031_000_0000|The World Today|15|The Portuguese dilemma|Journals|Antonio De Figueiredo||Antonio||De Figueiredo||22293110|
cho_book_1979_brownlie_000_0000|African Boundaries|111|Mozambique-Tanzania|Books|Antonio Salazar||Antonio||Salazar||13721108|
cho_iaxx_1964_0040_000_0000|International Affairs|53|Book Review: Africa|Journals|Antony Allott||Antony||Allott||22375481|
cho_wtxx_1965_0021_000_0000|The World Today|34|The political revival of Mali|Journals|Aristide R. Zolberg||Aristide|R.|Zolberg||14030274|
cho_book_1979_brownlie_000_0000|African Boundaries|111|Mozambique-Tanzania|Books|Armindo Monteiro||Armindo||Monteiro||22309045|
cho_book_1979_brownlie_000_0000|African Boundaries|128|Mozambique-Rhodesia (Zimbabwe)|Books|Armindo Monteiro||Armindo||Monteiro||22309045|
cho_iaxx_1962_0038_000_0000|International Affairs|8|Sir Charles Webster|Journals|Arnold Toynbee||Arnold||Toynbee||13681323|
cho_iaxx_1962_0038_000_0000|International Affairs|79|Book Review: Philosophy and Politics|Journals|Arnold Toynbee||Arnold||Toynbee||13681323|
cho_iaxx_1964_0040_000_0000|International Affairs|100|Britain and the Arabs: The Need for a New Start|Journals|Arnold Toynbee||Arnold||Toynbee||13681323|
cho_book_1979_brownlie_000_0000|African Boundaries|96|Uganda-Za?re|Books|Arthur H. Hardinge||Arthur|H.|Hardinge||22309032|
cho_book_1979_brownlie_000_0000|African Boundaries|108|Kenya-Tanzania|Books|Arthur H. Hardinge||Arthur|H.|Hardinge||22309032|
cho_book_1979_brownlie_000_0000|African Boundaries|126|Malawi-Mozambique|Books|Arthur H. Hardinge||Arthur|H.|Hardinge||22309032|
cho_book_1979_brownlie_000_0000|African Boundaries|128|Mozambique-Rhodesia (Zimbabwe)|Books|Arthur H. Hardinge||Arthur|H.|Hardinge||22309032|
cho_iaxx_1962_0038_000_0000|International Affairs|85|Book Review: Economic and Social|Journals|Arthur Hazlewood||Arthur||Hazlewood||22318800|
cho_iaxx_1964_0040_000_0000|International Affairs|110|Book Review: Politics, Economics and Social|Journals|Arthur Hazlewood||Arthur||Hazlewood||22318800|
cho_wtxx_1975_0031_000_0000|The World Today|69|Soviet oil politics and the Suez Canal|Journals|Arthur Jay Klinghoffer||Arthur|Jay|Klinghoffer||14631439|
cho_wtxx_1975_0031_000_0000|The World Today|17|US - Philippines: The end of a special relationship|Journals|Astri Suhrke||Astri||Suhrke||22375595|
cho_iaxx_1962_0038_000_0000|International Affairs|114|Book Review: Far East and Pacific|Journals|Audrey Donnithorne||Audrey||Donnithorne||13564016|
cho_wtxx_1961_0017_000_0000|The World Today|30|Economic Development in China|Journals|Audrey Donnithorne||Audrey||Donnithorne||13564016|
cho_book_1979_brownlie_000_0000|African Boundaries|126|Malawi-Mozambique|Books|Augusto De Vasconcellos||Augusto||De Vasconcellos||22309047|
cho_book_1979_brownlie_000_0000|African Boundaries|128|Mozambique-Rhodesia (Zimbabwe)|Books|Augusto De Vasconcellos||Augusto||De Vasconcellos||22309047|
cho_book_1979_brownlie_000_0000|African Boundaries|58|Guinea-Sierra Leone|Books|Ava||||Ava|||can't ID
cho_book_1979_brownlie_000_0000|African Boundaries|60|Ivory Coast-Liberia|Books|Ava||||Ava|||can't ID
cho_wtxx_1966_0022_000_0000|The World Today|47|Independence for Guyana|Journals|B. A. N. Collins||B.|A. N.|Collins||22375599|
cho_wtxx_1949_0005_000_0000|The World Today|21|Regionalism in Italy|Journals|B. C.||B.||C.|||can't ID
cho_wtxx_1954_0010_000_0000|The World Today|46|Crisis Point in Indo-China|Journals|B. C.||B.||C.|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|85|Book Review: Economic and Social|Journals|B. Cheng||B.||Cheng|||can't ID
cho_binx_1925_0001_000_0000|Bulletin of International News|109|IV. Book Reviews|Journals|B. E. C. D.||B.|E. C.|D.|||can't ID
cho_wtxx_1954_0010_000_0000|The World Today|101|Goa and the Indian Union|Journals|B. E. H. F.||B.|E. H.|F.|||can't ID
cho_wtxx_1957_0013_000_0000|The World Today|44|Soviet Writing about India|Journals|B. E. H. F.||B.|E. H.|F.|||can't ID
cho_wtxx_1965_0021_000_0000|The World Today|40|Nine years of political and economic change in Ceylon|Journals|B. H. Farmer||B.|H.|Farmer||14494258|
cho_wtxx_1959_0015_000_0000|The World Today|45|The St Lawrence Seaway|Journals|B. J. B.||B.|J.|B.|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|24|Book Review: Europe|Journals|B. K.||B.||K.|||can't ID
cho_iaxx_1962_0038_000_0000|International Affairs|56|Book Review: Europe|Journals|B. K.||B.||K.|||can't ID
cho_wtxx_1961_0017_000_0000|The World Today|64|New Departures in Yugoslav Economic Planning|Journals|B. K.||B.||K.|||can't ID
cho_wtxx_1949_0005_000_0000|The World Today|75|Communism in Malaya|Journals|B. N. R.||B.|N.|R.|||can't ID
